epoch,train_loss,val_loss
1,0.249482,0.258654
2,0.081995,0.190568
3,0.051920,0.257427
4,0.041848,0.502180
5,0.036606,0.406152
6,0.033861,0.547989
7,0.030812,0.636625
8,0.028149,0.598503
9,0.027149,0.736100
10,0.027160,0.536252
11,0.024294,0.621148
12,0.025364,0.624673
13,0.022068,0.770203
14,0.020864,0.744856
15,0.020792,0.751585
16,0.021868,0.540832
17,0.020338,0.631100
18,0.019898,0.742698
19,0.020235,0.561962
20,0.023425,0.445493
21,0.025016,0.524405
22,0.019528,0.419550
23,0.020346,0.504096
24,0.019337,0.512235
25,0.018601,0.468664
26,0.019027,0.485220
27,0.018691,0.557470
28,0.018281,0.510848
29,0.018841,0.509775
30,0.018240,0.504143
31,0.018682,0.522655
32,0.018710,0.465000
33,0.017899,0.456630
34,0.021077,0.637363
35,0.019139,0.540957
36,0.018858,0.433401
37,0.018716,0.522796
38,0.017840,0.419391
39,0.019125,0.406043
40,0.017966,0.424235
41,0.017133,0.426556
42,0.018141,0.465445
43,0.017133,0.420874
44,0.017306,0.390692
45,0.017759,0.378066
46,0.017966,0.419352
47,0.018780,0.365576
48,0.017014,0.371496
49,0.016752,0.397623
50,0.017167,0.408853
51,0.016547,0.360524
52,0.017116,0.393084
53,0.016637,0.382916
54,0.017006,0.378877
55,0.016944,0.376654
56,0.017290,0.357802
57,0.018997,0.352525
58,0.017969,0.333155
59,0.016754,0.395132
60,0.016615,0.409613
61,0.020018,0.339345
62,0.017120,0.374041
63,0.016431,0.348979
64,0.016496,0.394187
65,0.016619,0.366712
66,0.016592,0.338824
67,0.016726,0.349653
68,0.016542,0.357296
69,0.016475,0.342266
70,0.016598,0.349516
71,0.016261,0.352952
72,0.020298,0.319934
73,0.026944,0.348913
74,0.018800,0.483465
75,0.016797,0.427591
76,0.016391,0.432389
77,0.016566,0.357396
78,0.017161,0.345959
79,0.016004,0.441738
80,0.016268,0.418337
