epoch,train_loss,val_loss
1,0.347073,0.358477
2,0.166168,0.358359
3,0.119498,0.305519
4,0.097622,0.297064
5,0.082916,0.294140
6,0.076006,0.302921
7,0.074277,0.283677
8,0.070358,0.276847
9,0.066001,0.280952
10,0.067816,0.306605
11,0.060541,0.296196
12,0.058684,0.290779
13,0.061675,0.311016
14,0.062543,0.286689
15,0.056588,0.293210
16,0.058877,0.314067
17,0.061237,0.297792
18,0.054410,0.298346
19,0.060636,0.314090
20,0.056093,0.324207
21,0.051014,0.327298
22,0.053482,0.301879
23,0.053231,0.319240
24,0.054587,0.327675
25,0.052791,0.308636
26,0.051321,0.305749
27,0.051445,0.293039
28,0.055854,0.306035
29,0.049401,0.291507
30,0.056727,0.347278
31,0.051242,0.286647
32,0.052248,0.337545
33,0.049059,0.308685
34,0.049700,0.358012
35,0.050496,0.295148
36,0.049303,0.314164
37,0.050134,0.299166
38,0.051701,0.365643
39,0.052885,0.298091
40,0.049338,0.309996
41,0.050695,0.297787
42,0.051674,0.307254
43,0.049546,0.347986
44,0.048300,0.302159
45,0.052686,0.324616
46,0.048681,0.345138
47,0.052954,0.322897
48,0.053011,0.363896
49,0.047488,0.379455
50,0.051843,0.331348
51,0.047073,0.324213
52,0.056764,0.301541
53,0.054196,0.330119
54,0.049026,0.341526
55,0.051026,0.367418
56,0.046846,0.353987
57,0.047011,0.434298
58,0.051882,0.324796
59,0.050209,0.316774
60,0.047050,0.368795
61,0.051715,0.349433
62,0.050457,0.339322
63,0.047214,0.325120
64,0.046733,0.382257
65,0.049985,0.379280
66,0.046044,0.351946
67,0.048130,0.308497
68,0.052557,0.407068
69,0.047651,0.312880
70,0.047376,0.374502
71,0.050688,0.306354
72,0.044943,0.328895
73,0.051365,0.308240
74,0.050476,0.361838
75,0.046679,0.354519
76,0.047164,0.318549
77,0.046346,0.340117
78,0.051078,0.345197
79,0.048574,0.328305
80,0.049735,0.347536
