epoch,train_loss,val_loss
1,0.393388,0.385472
2,0.152534,0.363177
3,0.110171,0.219576
4,0.064196,0.200636
5,0.049936,0.235496
6,0.043923,0.249733
7,0.040880,0.450966
8,0.036289,0.506188
9,0.033314,0.680553
10,0.031116,0.619169
11,0.030551,0.577191
12,0.029817,0.715401
13,0.028338,0.833250
14,0.027656,0.800891
15,0.025531,0.555792
16,0.026517,0.544436
17,0.025642,0.550738
18,0.023312,0.531179
19,0.023360,0.602131
20,0.024037,0.520775
21,0.022904,0.536089
22,0.022621,0.556965
23,0.023915,0.519104
24,0.021525,0.510086
25,0.021139,0.513492
26,0.019993,0.567793
27,0.020630,0.600532
28,0.020539,0.509901
29,0.019511,0.557816
30,0.019204,0.582053
31,0.019395,0.509575
32,0.019598,0.591984
33,0.020106,0.542367
34,0.019745,0.590374
35,0.019561,0.535349
36,0.020238,0.464720
37,0.019844,0.556054
38,0.019258,0.441113
39,0.018841,0.520167
40,0.018578,0.520644
41,0.018972,0.507143
42,0.018666,0.539433
43,0.018138,0.476050
44,0.018058,0.495190
45,0.017773,0.432552
46,0.017872,0.487039
47,0.018743,0.486315
48,0.017885,0.484949
49,0.018193,0.409986
50,0.017908,0.476980
51,0.017440,0.448165
52,0.018086,0.438544
53,0.018642,0.449465
54,0.017519,0.426504
55,0.017505,0.419693
56,0.018516,0.468550
57,0.018017,0.472114
58,0.017696,0.420285
59,0.017331,0.413067
60,0.019266,0.435473
61,0.017892,0.407619
62,0.018445,0.429853
63,0.017498,0.473074
64,0.019828,0.398717
65,0.017924,0.419538
66,0.017818,0.381717
67,0.017280,0.397848
68,0.018569,0.431431
69,0.018110,0.403078
70,0.017303,0.395742
71,0.017593,0.380087
72,0.017112,0.366852
73,0.016331,0.410026
74,0.017218,0.362124
75,0.017439,0.406786
76,0.017560,0.337452
77,0.017667,0.354195
78,0.016475,0.366776
79,0.016738,0.373359
80,0.017088,0.367375
