epoch,train_loss,val_loss
1,0.333336,0.554976
2,0.125783,0.269298
3,0.078284,0.162526
4,0.057336,0.160766
5,0.049912,0.301041
6,0.046274,0.207174
7,0.045722,0.228675
8,0.041956,0.234464
9,0.040539,0.227708
10,0.038505,0.231079
11,0.036982,0.251270
12,0.034170,0.244199
13,0.034995,0.252701
14,0.032044,0.298790
15,0.030807,0.284211
16,0.029963,0.404666
17,0.028272,0.333951
18,0.029119,0.409671
19,0.027276,0.356744
20,0.026661,0.461117
21,0.026726,0.462099
22,0.025350,0.398452
23,0.024763,0.480379
24,0.026908,0.652426
25,0.023745,0.475278
26,0.023299,0.570166
27,0.024260,0.574936
28,0.023832,0.480220
29,0.024765,0.495274
30,0.022113,0.505271
31,0.021716,0.541734
32,0.022636,0.730966
33,0.023638,0.572506
34,0.021342,0.539245
35,0.021706,0.581191
36,0.020306,0.564946
37,0.020530,0.654419
38,0.020668,0.604862
39,0.023863,0.670038
40,0.022738,0.531878
41,0.020411,0.591347
42,0.019534,0.622369
43,0.020261,0.567210
44,0.020510,0.533157
45,0.021105,0.561913
46,0.020227,0.552304
47,0.020547,0.492696
48,0.019715,0.598863
49,0.019862,0.518050
50,0.020482,0.666306
51,0.019039,0.691205
52,0.020540,0.514884
53,0.019055,0.553633
54,0.020258,0.505308
55,0.020152,0.524988
56,0.019502,0.629684
57,0.020427,0.559072
58,0.018652,0.478305
59,0.020007,0.530947
60,0.021143,0.466319
61,0.019553,0.512004
62,0.019834,0.625301
63,0.020969,0.629449
64,0.018837,0.564553
65,0.018966,0.559366
66,0.018562,0.561528
67,0.021735,0.522516
68,0.019021,0.481704
69,0.018361,0.591752
70,0.018517,0.588139
71,0.018788,0.582725
72,0.018307,0.542421
73,0.028762,0.623338
74,0.021537,0.560731
75,0.018506,0.541639
76,0.019575,0.512863
77,0.018973,0.589437
78,0.018451,0.646080
79,0.019191,0.534256
80,0.018441,0.718921
