epoch,train_loss,val_loss
1,0.349864,0.329274
2,0.136259,0.271571
3,0.078234,0.181689
4,0.054978,0.195046
5,0.048428,0.195181
6,0.044529,0.211425
7,0.039501,0.231204
8,0.037395,0.251687
9,0.033576,0.351013
10,0.033182,0.412330
11,0.030642,0.350786
12,0.028100,0.357968
13,0.027720,0.387626
14,0.029342,0.405842
15,0.025761,0.474266
16,0.024785,0.564495
17,0.023994,0.414778
18,0.023266,0.530267
19,0.023229,0.435175
20,0.022648,0.532250
21,0.021064,0.526725
22,0.023613,0.570840
23,0.021955,0.607733
24,0.021370,0.487981
25,0.020454,0.569744
26,0.020533,0.541680
27,0.020095,0.575507
28,0.021044,0.569535
29,0.020675,0.575160
30,0.019920,0.565143
31,0.021108,0.571575
32,0.020720,0.668527
33,0.019545,0.582327
34,0.019943,0.574450
35,0.019706,0.600547
36,0.019977,0.535273
37,0.020221,0.682334
38,0.020370,0.513873
39,0.018961,0.522690
40,0.020290,0.553827
41,0.019201,0.656170
42,0.020015,0.573731
43,0.019547,0.654737
44,0.019753,0.579793
45,0.019850,0.532172
46,0.019284,0.558740
47,0.018617,0.578489
48,0.018218,0.501542
49,0.019082,0.701570
50,0.018288,0.745148
51,0.018878,0.608991
52,0.018940,0.926591
53,0.018535,0.776077
54,0.018269,0.676487
55,0.019240,0.681337
56,0.018143,0.636107
57,0.018778,0.635380
58,0.019461,0.651786
59,0.018422,0.657312
60,0.019035,0.627997
61,0.017702,0.660036
62,0.017909,0.706349
63,0.017949,0.608966
64,0.017975,0.668477
65,0.017988,0.626373
66,0.017963,0.631783
67,0.017631,0.662981
68,0.018252,0.656918
69,0.018081,0.749390
70,0.018661,0.805255
71,0.018439,0.571553
72,0.019336,0.642170
73,0.017889,0.765159
74,0.017366,0.686968
75,0.017575,0.575840
76,0.017656,0.704823
77,0.018184,0.670328
78,0.019773,0.517478
79,0.018417,0.635191
80,0.017106,0.607342
