epoch,train_loss,val_loss
1,0.337492,0.368568
2,0.175247,0.301647
3,0.135948,0.302244
4,0.082676,0.288630
5,0.064551,0.277194
6,0.065239,0.380147
7,0.055028,0.312583
8,0.051643,0.367092
9,0.051996,0.279980
10,0.053920,0.319846
11,0.049148,0.315344
12,0.048011,0.343153
13,0.050606,0.298427
14,0.049082,0.375636
15,0.050513,0.302588
16,0.049762,0.298947
17,0.047635,0.272631
18,0.049899,0.330554
19,0.048288,0.283433
20,0.045049,0.291340
21,0.045540,0.319624
22,0.045933,0.316713
23,0.056210,0.312378
24,0.045150,0.306951
25,0.048827,0.272260
26,0.047665,0.291554
27,0.046706,0.289409
28,0.043790,0.284484
29,0.047571,0.283725
30,0.045890,0.284849
31,0.042289,0.307850
32,0.046665,0.280422
33,0.044820,0.275180
34,0.044818,0.279126
35,0.045792,0.296913
36,0.039167,0.278604
37,0.039937,0.287401
38,0.046815,0.280487
39,0.049525,0.278448
40,0.040365,0.288078
41,0.042076,0.276539
42,0.042153,0.281194
43,0.041060,0.293809
44,0.044885,0.285356
45,0.042272,0.291020
46,0.039591,0.277828
47,0.045459,0.281081
48,0.046354,0.271279
49,0.038816,0.289969
50,0.039568,0.288194
51,0.044042,0.269484
52,0.039090,0.283783
53,0.042220,0.290413
54,0.044675,0.285938
55,0.041555,0.271141
56,0.042937,0.283673
57,0.039201,0.288946
58,0.039198,0.288887
59,0.049205,0.274472
60,0.038417,0.294583
61,0.041408,0.285698
62,0.040956,0.284845
63,0.040730,0.281384
64,0.042511,0.283825
65,0.038941,0.301206
66,0.038497,0.302803
67,0.038486,0.302799
68,0.038840,0.298276
69,0.041885,0.285041
70,0.038951,0.305165
71,0.041421,0.285406
72,0.072841,0.259686
73,0.044741,0.278254
74,0.039416,0.285581
75,0.040794,0.277788
76,0.037380,0.284131
77,0.036788,0.298556
78,0.037913,0.289994
79,0.036744,0.284784
80,0.038256,0.310016
81,0.037147,0.298103
82,0.037444,0.314237
83,0.039034,0.283898
84,0.039552,0.302685
85,0.045450,0.288377
86,0.040076,0.306873
87,0.043697,0.313855
88,0.039933,0.296887
89,0.036203,0.303500
90,0.037361,0.280622
91,0.037518,0.295635
92,0.037823,0.282574
93,0.040717,0.296407
94,0.040114,0.276489
95,0.040184,0.299679
96,0.037184,0.288629
97,0.035903,0.295599
98,0.040020,0.276776
99,0.044999,0.272699
100,0.039030,0.291451
101,0.037456,0.273306
102,0.037461,0.291676
103,0.039975,0.296053
104,0.038119,0.279671
105,0.040969,0.289310
106,0.038212,0.305112
107,0.038994,0.295981
108,0.039818,0.293600
109,0.040876,0.288152
110,0.035917,0.295865
111,0.035323,0.287103
112,0.037401,0.310557
113,0.045248,0.287404
114,0.048915,0.313421
115,0.037606,0.285649
116,0.036293,0.297709
117,0.038452,0.249361
118,0.038231,0.296618
119,0.036818,0.314095
120,0.037845,0.302024
121,0.035840,0.286280
122,0.036361,0.293009
123,0.039812,0.275090
124,0.038120,0.295766
125,0.041897,0.315292
126,0.038142,0.306307
127,0.037330,0.327179
128,0.035429,0.279883
129,0.036163,0.303456
130,0.038559,0.287607
131,0.038238,0.302817
132,0.038711,0.284549
133,0.039048,0.276233
134,0.038707,0.279392
135,0.037742,0.288669
136,0.036165,0.292707
137,0.036232,0.264910
138,0.036351,0.284897
139,0.039586,0.297860
140,0.037136,0.304517
141,0.036969,0.278161
142,0.036482,0.285495
143,0.038175,0.304281
144,0.036131,0.282558
145,0.038893,0.279495
146,0.037606,0.287642
147,0.040538,0.291446
148,0.037449,0.300787
149,0.037007,0.302827
150,0.036003,0.311425
151,0.035505,0.278550
152,0.036284,0.274492
153,0.035745,0.288582
154,0.037851,0.290527
155,0.038348,0.304340
156,0.036342,0.273350
157,0.044534,0.270166
158,0.038735,0.287705
159,0.036552,0.287287
160,0.035734,0.279432
161,0.035483,0.294885
162,0.042218,0.276734
163,0.041037,0.288612
164,0.037201,0.295442
165,0.037935,0.298598
166,0.035999,0.284291
167,0.039782,0.283573
