epoch,train_loss,val_loss
1,0.276880,0.257807
2,0.111983,0.236324
3,0.053298,0.217809
4,0.043329,0.349303
5,0.039866,0.257913
6,0.034127,0.274234
7,0.030862,0.689724
8,0.031636,0.545081
9,0.031920,0.641494
10,0.028574,0.655861
11,0.025606,0.707416
12,0.028082,2.244862
13,0.091570,0.235891
14,0.037502,0.322911
15,0.032005,0.341435
16,0.031329,0.319283
17,0.027256,0.438304
18,0.025919,0.739430
19,0.025990,0.441330
20,0.023843,0.500428
21,0.022821,0.709015
22,0.021649,0.552871
23,0.022154,0.530401
24,0.022204,0.604393
25,0.019902,0.432995
26,0.020755,0.435068
27,0.020793,0.543836
28,0.021109,0.401350
29,0.020475,0.376280
30,0.019091,0.362161
31,0.018423,0.424293
32,0.017955,0.405398
33,0.019064,0.397989
34,0.019586,0.301261
35,0.020297,0.453741
36,0.017175,0.380440
37,0.018553,0.438467
38,0.017286,0.401253
39,0.016841,0.451359
40,0.017336,0.396063
41,0.016617,0.439418
42,0.017565,0.441781
43,0.016759,0.460991
44,0.017361,0.476963
45,0.016699,0.488675
46,0.017556,0.479114
47,0.017567,0.539333
48,0.018770,0.436487
49,0.016751,0.428560
50,0.016570,0.383473
51,0.016370,0.507042
52,0.017957,0.452298
53,0.016599,0.546481
54,0.017470,0.576635
55,0.016248,0.489860
56,0.016489,0.508763
57,0.016857,0.431059
58,0.015705,0.529000
59,0.015273,0.607116
60,0.016419,0.502035
61,0.016417,0.557243
62,0.016819,0.471491
63,0.015518,0.457528
64,0.017218,0.397013
65,0.017906,0.498940
66,0.016465,0.447206
67,0.015089,0.484703
68,0.015843,0.683851
69,0.016972,0.364876
70,0.016178,0.404649
71,0.016635,0.375062
72,0.015570,0.399249
73,0.015854,0.409033
74,0.015516,0.478013
75,0.015135,0.459275
76,0.015077,0.497608
77,0.015007,0.479154
78,0.015176,0.503568
79,0.016679,0.377782
80,0.016447,0.478412
