epoch,train_loss,val_loss
1,0.559071,0.503264
2,0.216309,0.329417
3,0.182798,0.285465
4,0.163165,0.321606
5,0.143789,0.306852
6,0.126027,0.359583
7,0.107630,0.294449
8,0.091245,0.268902
9,0.078962,0.310118
10,0.073433,0.257279
11,0.064555,0.257544
12,0.059946,0.256722
13,0.058249,0.261679
14,0.054621,0.266122
15,0.052794,0.263539
16,0.050988,0.275636
17,0.051858,0.259043
18,0.050573,0.253086
19,0.049018,0.253492
20,0.048199,0.246746
21,0.047639,0.246300
22,0.046225,0.236931
23,0.046642,0.238462
24,0.044611,0.235944
25,0.044635,0.241242
26,0.047617,0.229105
27,0.043723,0.234026
28,0.044731,0.231290
29,0.043507,0.227445
30,0.041700,0.231454
31,0.042631,0.226286
32,0.043728,0.235180
33,0.043341,0.229172
34,0.041370,0.230370
35,0.042026,0.247498
36,0.040253,0.232454
37,0.039811,0.231222
38,0.039417,0.265046
39,0.040026,0.271328
40,0.039403,0.247511
41,0.038029,0.265408
42,0.040042,0.304784
43,0.039239,0.263338
44,0.037936,0.264821
45,0.037282,0.255941
46,0.037881,0.285981
47,0.036451,0.266356
48,0.036841,0.299364
49,0.036320,0.287944
50,0.036810,0.300766
51,0.036056,0.286861
52,0.036044,0.300670
53,0.035728,0.270422
54,0.035467,0.316586
55,0.035066,0.292398
56,0.035105,0.316949
57,0.034922,0.306461
58,0.035162,0.345922
59,0.035747,0.305516
60,0.035209,0.332698
61,0.035236,0.319850
62,0.034762,0.306888
63,0.034122,0.319764
64,0.033735,0.312589
65,0.034184,0.303925
66,0.034780,0.317734
67,0.034484,0.320112
68,0.035038,0.301109
69,0.034439,0.324805
70,0.036335,0.409351
71,0.037140,0.307779
72,0.033925,0.364156
73,0.034623,0.322436
74,0.033678,0.296179
75,0.033147,0.352239
76,0.034490,0.316575
77,0.033829,0.337664
78,0.032786,0.316540
79,0.033838,0.337338
80,0.033587,0.370598
81,0.033249,0.327614
