epoch,train_loss,val_loss
1,0.426605,0.371818
2,0.162645,0.367296
3,0.121979,0.246447
4,0.086372,0.250469
5,0.064888,0.378236
6,0.058632,0.292433
7,0.052373,0.444014
8,0.046842,0.314433
9,0.043518,0.232851
10,0.045014,0.309035
11,0.039115,0.581809
12,0.036101,0.750397
13,0.035910,0.359140
14,0.034256,0.716635
15,0.040111,0.364620
16,0.037944,0.735486
17,0.032663,0.495406
18,0.029330,0.867762
19,0.029330,0.590543
20,0.028757,0.889606
21,0.027999,0.758913
22,0.028916,1.075913
23,0.026843,0.898809
24,0.025491,0.777395
25,0.026033,1.295442
26,0.030157,0.482875
27,0.025921,0.394825
28,0.026627,0.557292
29,0.024802,0.575342
30,0.024620,0.584473
31,0.023943,0.662802
32,0.028020,0.294806
33,0.027489,0.380951
34,0.023929,0.424193
35,0.022962,0.398531
36,0.024109,0.382949
37,0.022801,0.501730
38,0.021942,0.453583
39,0.021834,0.457261
40,0.021303,0.448039
41,0.023261,0.517061
42,0.021920,0.433233
43,0.021294,0.390038
44,0.024750,0.358432
45,0.020686,0.449026
46,0.020919,0.374922
47,0.020832,0.446277
48,0.020386,0.433079
49,0.020473,0.434073
50,0.020901,0.513336
51,0.022901,0.384868
52,0.019343,0.441423
53,0.019993,0.376557
54,0.019718,0.413125
55,0.019541,0.503427
56,0.019869,0.414058
57,0.019326,0.437714
58,0.019746,0.421469
59,0.019539,0.413536
60,0.019375,0.423057
61,0.020071,0.370928
62,0.019196,0.428884
63,0.018181,0.432977
64,0.018651,0.450733
65,0.020293,0.454451
66,0.019379,0.436201
67,0.020300,0.470295
68,0.020466,0.412020
69,0.019329,0.380639
70,0.018955,0.393118
71,0.018919,0.385600
72,0.018527,0.414911
73,0.018642,0.383919
74,0.017903,0.433795
75,0.018066,0.402463
76,0.020118,0.434651
77,0.019279,0.426271
78,0.018644,0.459075
79,0.018536,0.437270
80,0.018355,0.403163
