epoch,train_loss,val_loss
1,0.707077,1.436686
2,0.241225,0.378312
3,0.171982,0.305599
4,0.145751,0.313226
5,0.126835,0.295631
6,0.103594,0.240552
7,0.084041,0.183974
8,0.069465,0.244830
9,0.060479,0.176042
10,0.054656,0.201234
11,0.051219,0.174809
12,0.046622,0.173162
13,0.046286,0.176406
14,0.044423,0.152159
15,0.041154,0.160266
16,0.039893,0.170434
17,0.038008,0.176582
18,0.036575,0.198446
19,0.035413,0.209337
20,0.034312,0.226229
21,0.033555,0.210668
22,0.034367,0.232233
23,0.031029,0.256707
24,0.031035,0.261952
25,0.031388,0.272029
26,0.030084,0.266318
27,0.029397,0.307141
28,0.031314,0.298209
29,0.028751,0.300585
30,0.028714,0.295298
31,0.028254,0.335892
32,0.027195,0.311281
33,0.027027,0.343328
34,0.026163,0.335068
35,0.025791,0.367730
36,0.025615,0.376896
37,0.026247,0.360105
38,0.025316,0.370057
39,0.024526,0.359949
40,0.025419,0.384555
41,0.026325,0.365662
42,0.024697,0.375066
43,0.024321,0.426678
44,0.024756,0.393894
45,0.023563,0.390681
46,0.023479,0.411076
47,0.023225,0.410888
48,0.023563,0.448218
49,0.022982,0.407428
50,0.022239,0.387296
51,0.022380,0.380451
52,0.022166,0.397498
53,0.022466,0.369322
54,0.021081,0.391305
55,0.021300,0.409180
56,0.020996,0.366840
57,0.020602,0.347163
58,0.020341,0.344970
59,0.020342,0.401507
60,0.020896,0.382771
61,0.020612,0.402384
62,0.020504,0.389391
63,0.020190,0.372251
64,0.020022,0.430844
65,0.019925,0.389359
66,0.019496,0.382467
67,0.020527,0.406241
68,0.020011,0.381181
69,0.019516,0.374415
70,0.019974,0.391256
71,0.019638,0.369319
72,0.019719,0.384709
73,0.019240,0.387188
74,0.019864,0.354380
75,0.019275,0.370423
76,0.019155,0.436553
77,0.019286,0.442345
78,0.019432,0.385209
79,0.018801,0.400121
80,0.018823,0.384061
