epoch,train_loss,val_loss
1,0.550949,0.320775
2,0.194752,0.331420
3,0.143481,0.348211
4,0.117250,0.271528
5,0.089543,0.182397
6,0.071411,0.223265
7,0.064987,0.237491
8,0.054876,0.188161
9,0.051032,0.196964
10,0.048580,0.165247
11,0.047410,0.159266
12,0.044264,0.187652
13,0.042706,0.258375
14,0.041633,0.178196
15,0.039005,0.308372
16,0.037265,0.363600
17,0.038541,0.233548
18,0.036275,0.371450
19,0.035350,0.473875
20,0.033315,0.561508
21,0.032636,0.668837
22,0.033450,0.490614
23,0.030487,0.623825
24,0.029942,0.644085
25,0.030535,0.637057
26,0.029931,0.739191
27,0.029133,0.791155
28,0.028493,0.783243
29,0.027974,0.794501
30,0.027458,1.144451
31,0.027644,1.248639
32,0.026346,1.154310
33,0.025957,1.780264
34,0.025549,1.542674
35,0.025674,1.901288
36,0.024975,1.266924
37,0.024725,1.778534
38,0.024187,1.823071
39,0.024499,1.426982
40,0.024424,1.694455
41,0.022886,2.018416
42,0.023256,1.995122
43,0.022329,2.102807
44,0.021942,2.275021
45,0.021569,2.302251
46,0.021471,2.774250
47,0.022011,2.498583
48,0.022327,1.049614
49,0.021642,1.522377
50,0.021015,1.574803
51,0.022559,2.224939
52,0.021300,2.092243
53,0.020859,2.387486
54,0.020468,2.088926
55,0.020288,2.511872
56,0.020122,2.353486
57,0.020213,2.272392
58,0.020032,2.423575
59,0.019662,1.858804
60,0.020241,2.351574
61,0.020069,2.610447
62,0.019832,2.429967
63,0.020714,2.413687
64,0.020520,2.001676
65,0.019486,1.468154
66,0.019317,1.885633
67,0.019272,2.169484
68,0.019047,2.412054
69,0.019260,2.056695
70,0.019988,2.054148
71,0.019697,2.152206
72,0.019386,2.720548
73,0.020077,2.277349
74,0.018925,2.207847
75,0.018552,2.107670
76,0.018803,2.083985
77,0.018562,1.752095
78,0.019021,1.555253
79,0.019472,2.157238
80,0.018650,1.959309
