epoch,train_loss,val_loss
1,0.487202,0.340952
2,0.182066,0.361127
3,0.137552,0.329747
4,0.100231,0.209563
5,0.066217,0.168574
6,0.053366,0.163791
7,0.046724,0.255821
8,0.040687,0.228874
9,0.036214,0.370175
10,0.034455,0.447436
11,0.032665,0.636721
12,0.032902,0.441048
13,0.031829,0.707176
14,0.029516,0.803205
15,0.030299,0.492101
16,0.028151,0.657292
17,0.027418,0.609958
18,0.027659,0.509464
19,0.026372,0.575777
20,0.025444,0.447590
21,0.026860,0.618830
22,0.023769,0.508467
23,0.024736,0.553164
24,0.023164,0.428550
25,0.022904,0.438878
26,0.023196,0.550317
27,0.023624,0.481999
28,0.024360,0.511564
29,0.022065,0.503790
30,0.022765,0.524569
31,0.022088,0.525948
32,0.020945,0.492685
33,0.020689,0.555890
34,0.022913,0.552892
35,0.023554,0.525635
36,0.021091,0.568165
37,0.019967,0.525358
38,0.020294,0.593476
39,0.019658,0.590607
40,0.020116,0.634621
41,0.019699,0.553023
42,0.020232,0.553010
43,0.021558,0.663053
44,0.019850,0.505374
45,0.019612,0.597943
46,0.018854,0.555771
47,0.018534,0.548842
48,0.019513,0.618336
49,0.021285,0.553317
50,0.018659,0.571128
51,0.018947,0.663171
52,0.018939,0.540949
53,0.018708,0.617807
54,0.018444,0.569645
55,0.017684,0.510086
56,0.018425,0.655530
57,0.023508,0.539110
58,0.022730,0.639231
59,0.019396,0.550851
60,0.018761,0.582998
61,0.017520,0.551686
62,0.019692,0.594316
63,0.019024,0.528536
64,0.018583,0.565927
65,0.017666,0.502866
66,0.017697,0.480204
67,0.018278,0.528380
68,0.017788,0.514315
69,0.017432,0.513332
70,0.018138,0.484686
71,0.017381,0.519477
72,0.017622,0.435994
73,0.017472,0.509266
74,0.018262,0.491754
75,0.017819,0.478229
76,0.018307,0.507834
77,0.017304,0.452774
78,0.017680,0.471673
79,0.018470,0.457719
80,0.017589,0.543984
