epoch,train_loss,val_loss
1,0.519168,0.311611
2,0.182288,0.338967
3,0.127263,0.452590
4,0.090629,0.274668
5,0.069447,0.219307
6,0.068666,0.267600
7,0.052963,0.203658
8,0.048457,0.242735
9,0.046232,0.222267
10,0.043208,0.224940
11,0.040282,0.238672
12,0.041335,0.228238
13,0.037186,0.265977
14,0.035491,0.278878
15,0.033933,0.298890
16,0.033519,0.281975
17,0.031353,0.284627
18,0.028643,0.296277
19,0.028599,0.299246
20,0.028419,0.290125
21,0.030106,0.269485
22,0.028609,0.281762
23,0.025219,0.306586
24,0.027980,0.327840
25,0.025427,0.309033
26,0.027035,0.303814
27,0.028888,0.304177
28,0.027947,0.318122
29,0.023913,0.309555
30,0.023425,0.301197
31,0.023740,0.282310
32,0.023625,0.273754
33,0.025730,0.321365
34,0.027026,0.311843
35,0.024389,0.291022
36,0.022079,0.295362
37,0.023761,0.298460
38,0.022612,0.306146
39,0.024436,0.296510
40,0.022865,0.328766
41,0.024848,0.318597
42,0.022179,0.323175
43,0.021590,0.321735
44,0.021979,0.318718
45,0.021641,0.314979
46,0.021303,0.343486
47,0.019853,0.328412
48,0.020409,0.329528
49,0.020266,0.389760
50,0.020236,0.561749
51,0.027926,0.323189
52,0.024649,0.462572
53,0.022028,0.691865
54,0.021861,0.656784
55,0.021701,0.660448
56,0.020505,0.693983
57,0.019898,0.792757
58,0.019145,0.753566
59,0.019317,0.265074
60,0.018962,0.312214
61,0.019673,0.320968
62,0.020619,0.604550
63,0.018780,0.788950
64,0.019398,0.819071
65,0.019289,1.030196
66,0.018964,0.882265
67,0.018267,0.985449
68,0.018172,1.021537
69,0.019791,0.862499
70,0.019333,1.252436
71,0.018937,1.009516
72,0.020432,0.729276
73,0.020125,0.868714
74,0.018444,1.027322
75,0.017592,0.972111
76,0.017516,0.820673
77,0.018690,0.845385
78,0.019419,0.785104
79,0.019512,0.795615
80,0.017523,0.986138
