epoch,train_loss,val_loss
1,0.434246,0.349711
2,0.165840,0.338518
3,0.123976,0.207528
4,0.078986,0.271852
5,0.073040,0.167735
6,0.053208,0.201940
7,0.042685,0.229546
8,0.041139,0.784890
9,0.037994,0.805186
10,0.034891,0.686040
11,0.039245,0.619608
12,0.034412,1.718956
13,0.035727,1.488798
14,0.033834,0.592426
15,0.031324,1.219210
16,0.030697,0.822006
17,0.029193,0.584043
18,0.029268,0.517521
19,0.028414,0.980635
20,0.026601,0.605945
21,0.026623,0.717594
22,0.025129,0.938217
23,0.027861,0.571799
24,0.025803,1.335615
25,0.026556,0.784164
26,0.026543,0.534636
27,0.025561,0.645383
28,0.023610,0.679040
29,0.023152,0.631608
30,0.022276,0.660195
31,0.021756,0.717620
32,0.021990,0.713962
33,0.024746,0.631450
34,0.022759,0.706046
35,0.023298,0.971654
36,0.023181,0.623071
37,0.025294,0.719757
38,0.023859,0.665891
39,0.022338,0.565404
40,0.022407,0.621143
41,0.019392,0.575672
42,0.019428,0.586423
43,0.019751,0.622482
44,0.021796,0.638005
45,0.022390,0.615048
46,0.020583,0.579827
47,0.019671,0.616262
48,0.019765,0.585819
49,0.019637,0.532728
50,0.020636,0.569901
51,0.019871,0.597338
52,0.019733,0.557686
53,0.018663,0.643299
54,0.019151,0.585760
55,0.036789,0.617866
56,0.021300,0.587026
57,0.021519,0.590065
58,0.018900,0.567990
59,0.020032,0.654710
60,0.022542,0.612059
61,0.019460,0.545603
62,0.018180,0.531676
63,0.019664,0.597043
64,0.019623,0.533203
65,0.018795,0.601204
66,0.018215,0.621592
67,0.017844,0.576304
68,0.018978,0.516367
69,0.018534,0.631947
70,0.017828,0.513063
71,0.019094,0.623160
72,0.019753,0.551321
73,0.020924,0.566264
74,0.018012,0.552356
75,0.017629,0.555485
76,0.018055,0.528633
77,0.018454,0.476085
78,0.018779,0.547449
79,0.019268,0.573257
80,0.018851,0.498705
