epoch,train_loss,val_loss
1,1.005469,1.447151
2,1.005088,1.421625
3,1.004719,1.440681
4,1.004615,1.427453
5,1.004697,1.436174
6,1.004668,1.426085
7,1.004660,1.447579
8,1.004641,1.437106
9,1.004738,1.429682
10,1.004511,1.436797
11,1.004624,1.436020
12,1.004532,1.435211
13,1.004608,1.440264
14,1.004560,1.439912
15,1.004557,1.441974
16,1.004547,1.434561
17,1.004667,1.438421
18,1.004487,1.435811
19,1.004496,1.436623
20,1.004498,1.436564
21,1.004563,1.436337
22,1.004550,1.435314
23,1.004601,1.436847
24,1.004517,1.432987
25,1.004503,1.435633
26,1.004511,1.433834
27,1.004552,1.433092
28,1.004561,1.430916
29,1.004518,1.445004
30,1.004568,1.442842
31,1.004540,1.442915
32,1.004544,1.437432
33,1.004480,1.435501
34,1.004551,1.432767
35,1.004519,1.431923
36,1.004456,1.436190
37,1.004500,1.437280
38,1.004558,1.437503
39,1.004465,1.439030
40,1.004532,1.436878
41,1.004488,1.434338
42,1.004459,1.434989
43,1.004486,1.432022
44,1.004495,1.429325
45,1.004457,1.435251
46,1.004457,1.434659
47,1.004488,1.434921
48,1.004485,1.437762
49,1.004504,1.433827
50,1.004513,1.433016
51,1.004499,1.434011
52,1.004809,1.430041
53,1.004561,1.428870
54,1.004480,1.430726
55,1.004445,1.434063
56,1.004461,1.431596
57,1.004503,1.432121
58,1.004518,1.435941
59,1.004495,1.431547
60,1.004468,1.432548
61,1.004459,1.433204
62,1.004459,1.431290
63,1.004496,1.428540
64,1.004461,1.439113
65,1.004448,1.433967
66,1.004448,1.435833
67,1.004533,1.436701
68,1.004521,1.441674
69,1.004551,1.437379
70,1.004463,1.435026
71,1.004477,1.433047
72,1.004464,1.436726
73,1.004510,1.436513
74,1.004457,1.432981
75,1.004462,1.435703
76,1.004493,1.435989
77,1.004468,1.432076
78,1.004456,1.432694
79,1.004517,1.435123
80,1.004542,1.435459
81,1.004495,1.435417
82,1.004502,1.439485
83,1.004462,1.434012
84,1.004501,1.436820
85,1.004461,1.435246
86,1.004453,1.435473
87,1.004529,1.438969
88,1.004437,1.423033
89,1.004564,1.421226
90,1.004550,1.427676
91,1.004517,1.441085
92,1.004618,1.419363
93,1.004587,1.460379
94,1.004591,1.439584
95,1.004563,1.433728
96,1.004549,1.428723
97,1.004513,1.427009
98,1.004877,1.444065
99,1.004553,1.429669
100,1.004540,1.439460
