epoch,train_loss,val_loss
1,0.456157,0.753365
2,0.274253,0.757419
3,0.235215,0.813115
4,0.204126,0.816506
5,0.177884,0.838983
6,0.168244,0.706087
7,0.151761,0.667827
8,0.155957,0.681619
9,0.127869,0.639028
10,0.115439,0.667120
11,0.104911,0.700263
12,0.108334,0.702321
13,0.100668,0.665190
14,0.127084,0.655866
15,0.100828,0.760248
16,0.090952,0.786426
17,0.094933,0.726701
18,0.087152,0.764811
19,0.080668,0.818128
20,0.081254,0.709330
21,0.077438,0.642128
22,0.067743,0.727699
23,0.066555,0.703226
24,0.067607,0.734190
25,0.065249,0.757794
26,0.066211,0.702346
27,0.055998,0.677756
28,0.053719,0.738390
29,0.044764,0.722181
30,0.043615,0.752974
31,0.048531,0.530497
32,0.047521,0.658797
33,0.051631,0.623384
34,0.044277,0.609933
35,0.041370,0.625075
36,0.035687,0.590140
37,0.036444,0.635084
38,0.037148,0.555699
39,0.034167,0.647565
40,0.037904,0.645559
41,0.047781,0.721108
42,0.045405,0.609113
43,0.038697,0.588740
44,0.032551,0.656090
45,0.077828,0.606749
46,0.055843,0.636783
47,0.041000,0.594262
48,0.031088,0.606214
49,0.028921,0.576928
50,0.028807,0.670684
51,0.028386,0.634304
52,0.029081,0.614792
53,0.027488,0.577124
54,0.026399,0.623114
55,0.027780,0.509705
56,0.028613,0.625731
57,0.027306,0.605193
58,0.026457,0.622328
59,0.026530,0.652969
60,0.030727,0.654019
61,0.032106,0.665757
62,0.045539,0.599264
63,0.030482,0.721804
64,0.028569,0.654456
65,0.027279,0.709065
66,0.029868,0.692231
67,0.028030,0.758213
68,0.026927,0.639147
69,0.025378,0.673199
70,0.024981,0.654039
71,0.024665,0.643177
72,0.145811,0.556527
73,0.146591,0.692783
74,0.095844,0.672739
75,0.067636,0.553298
76,0.064517,0.737946
77,0.044478,0.639451
78,0.037277,0.638821
79,0.032527,0.614652
80,0.030860,0.594439
81,0.032727,0.543783
82,0.031228,0.592160
83,0.030992,0.746343
84,0.058000,0.552955
85,0.036036,0.533798
86,0.032571,0.534852
87,0.029447,0.525121
88,0.028443,0.546885
89,0.027292,0.576620
90,0.026803,0.507928
91,0.026002,0.525210
92,0.026090,0.513950
93,0.026502,0.575523
94,0.031742,0.540861
95,0.029039,0.494622
96,0.036831,0.538436
97,0.035907,0.825697
98,0.156736,0.542410
99,0.080195,0.431602
100,0.053901,0.504104
101,0.044385,0.802614
102,0.040746,0.601627
103,0.036342,0.847514
104,0.033913,0.746546
105,0.032779,0.810144
106,0.028979,0.770419
107,0.028674,0.818676
108,0.028075,0.785510
109,0.026860,0.958132
110,0.029476,0.899572
111,0.031936,0.804715
112,0.032212,0.775154
113,0.041771,0.447466
114,0.032766,0.862553
115,0.027886,0.779510
116,0.025805,0.747858
117,0.027121,0.761814
118,0.028750,0.747812
119,0.025983,0.618883
120,0.025442,0.729577
121,0.027349,0.819320
122,0.027034,0.729768
123,0.025184,0.722159
124,0.025171,0.762244
125,0.025484,0.806994
126,0.026006,0.895558
127,0.032648,0.756145
128,0.025160,0.837757
129,0.025826,0.887626
130,0.041783,0.895921
131,0.033263,0.849669
132,0.026088,0.802120
133,0.024609,0.825234
134,0.025363,0.844263
135,0.023724,0.774620
136,0.023490,0.865454
137,0.024753,0.825581
138,0.024222,0.832713
139,0.024259,0.789391
140,0.024624,0.731350
141,0.028644,0.725626
142,0.030988,0.772348
143,0.025056,0.811045
144,0.023517,0.827508
145,0.023945,0.791676
146,0.023157,0.828012
147,0.024156,0.781405
148,0.024685,0.845288
149,0.044958,0.722093
