epoch,train_loss,val_loss
1,0.409479,0.415967
2,0.241154,0.451440
3,0.200472,0.718970
4,0.169897,0.586236
5,0.164692,0.575554
6,0.159911,0.634729
7,0.133410,0.642734
8,0.134710,0.583289
9,0.118666,0.581295
10,0.116267,0.636785
11,0.108700,0.734538
12,0.100921,0.603767
13,0.101953,0.411381
14,0.096577,0.537355
15,0.090586,0.674382
16,0.083149,0.520755
17,0.096219,0.479979
18,0.079023,0.572245
19,0.080310,0.461659
20,0.071952,0.417718
21,0.067660,0.384394
22,0.126717,0.455633
23,0.109415,0.480196
24,0.077924,0.545406
25,0.069651,0.433998
26,0.063261,0.417827
27,0.062783,0.583812
28,0.064188,0.367444
29,0.065366,0.413061
30,0.075712,0.430983
31,0.058389,0.392578
32,0.048501,0.397622
33,0.051202,0.499531
34,0.053709,0.413182
35,0.047856,0.386748
36,0.045071,0.399500
37,0.048124,0.388223
38,0.050370,0.404670
39,0.048086,0.393395
40,0.065909,0.416705
41,0.060995,0.449494
42,0.056747,0.522106
43,0.090656,0.438866
44,0.070590,0.358671
45,0.088962,0.452693
46,0.071499,0.471366
47,0.057919,0.423674
48,0.056937,0.422754
49,0.051858,0.417203
50,0.050779,0.465170
51,0.045619,0.476017
52,0.044014,0.439626
53,0.042167,0.510997
54,0.043744,0.489108
55,0.060406,0.432982
56,0.050429,0.467551
57,0.041838,0.436992
58,0.038828,0.425869
59,0.041051,0.463042
60,0.038857,0.440295
61,0.044664,0.367859
62,0.057807,0.450647
63,0.062831,0.421708
64,0.044540,0.423066
65,0.039863,0.461240
66,0.036093,0.477336
67,0.038203,0.464230
68,0.036720,0.485132
69,0.036519,0.491172
70,0.035294,0.478529
71,0.035866,0.469543
72,0.035444,0.477958
73,0.038079,0.452965
74,0.035566,0.484225
75,0.037617,0.458401
76,0.034557,0.469053
77,0.035664,0.475814
78,0.034350,0.477783
79,0.037158,0.477053
80,0.034666,0.493561
81,0.033704,0.459412
82,0.034152,0.475964
83,0.035351,0.474932
84,0.032890,0.494229
85,0.032287,0.477457
86,0.038154,0.469357
87,0.038654,0.491634
88,0.035098,0.503871
89,0.032421,0.497054
90,0.031484,0.486224
91,0.033234,0.500777
92,0.032068,0.478017
93,0.033165,0.469883
94,0.033963,0.449442
