epoch,train_loss,val_loss
1,1.007766,1.436834
2,1.007610,1.402958
3,1.007712,1.457493
4,1.007267,1.424729
5,1.007325,1.430714
6,1.007425,1.443627
7,1.007165,1.431035
8,1.007465,1.438291
9,1.007132,1.435129
10,1.007147,1.437530
11,1.007265,1.422731
12,1.007112,1.421391
13,1.007257,1.428089
14,1.007110,1.428227
15,1.007121,1.428314
16,1.007165,1.421739
17,1.007113,1.430913
18,1.007218,1.424768
19,1.007193,1.428426
20,1.007173,1.434156
21,1.007119,1.437409
22,1.007134,1.437292
23,1.007112,1.420814
24,1.007029,1.429057
25,1.007077,1.428977
26,1.007090,1.431348
27,1.007085,1.431860
28,1.007067,1.430623
29,1.007025,1.426452
30,1.007037,1.432577
31,1.007081,1.431837
32,1.007058,1.431383
33,1.007088,1.426527
34,1.007173,1.428139
35,1.007084,1.432537
36,1.007060,1.432193
37,1.007051,1.432434
38,1.007059,1.432312
39,1.007061,1.427164
40,1.007019,1.429363
41,1.007062,1.423365
42,1.007118,1.434537
43,1.007042,1.433295
44,1.007017,1.429732
45,1.007075,1.427397
46,1.007163,1.428210
47,1.007129,1.430033
48,1.007153,1.424443
49,1.007095,1.435870
50,1.007030,1.430655
51,1.007054,1.432052
52,1.007022,1.429210
53,1.007021,1.430989
54,1.007067,1.427415
55,1.007057,1.434038
56,1.007052,1.432924
57,1.007114,1.424867
58,1.007043,1.431626
59,1.007126,1.424289
60,1.007150,1.432459
61,1.007089,1.425959
62,1.007014,1.427253
63,1.007105,1.426480
64,1.007265,1.431541
65,1.007079,1.422535
66,1.007007,1.429610
67,1.007038,1.424552
68,1.007017,1.427829
69,1.007079,1.433509
70,1.007023,1.429142
71,1.007024,1.431019
72,1.007039,1.427541
73,1.007016,1.429130
74,1.007035,1.428667
75,1.007084,1.428109
76,1.007077,1.422604
77,1.007110,1.432976
78,1.007227,1.424621
79,1.007357,1.418564
80,1.007080,1.426022
81,1.007043,1.434665
82,1.007017,1.427981
83,1.007003,1.432450
84,1.007075,1.426304
85,1.007033,1.430595
86,1.007061,1.428164
87,1.007087,1.435027
88,1.006982,1.425322
89,1.007018,1.425493
90,1.006996,1.428029
91,1.007041,1.422655
92,1.007009,1.429180
93,1.007040,1.435847
94,1.007008,1.429173
95,1.007023,1.426419
96,1.007035,1.431777
97,1.007017,1.429445
98,1.007006,1.425540
99,1.007054,1.428265
100,1.007034,1.430886
