epoch,train_loss,val_loss
1,0.420988,0.640377
2,0.237254,0.699833
3,0.189314,0.766977
4,0.159285,0.530338
5,0.136153,0.606415
6,0.123510,0.706910
7,0.115670,0.712972
8,0.111101,0.739947
9,0.102478,0.685303
10,0.092813,0.583555
11,0.100752,0.648581
12,0.089207,0.574892
13,0.079252,0.687130
14,0.068017,0.702002
15,0.072457,0.754893
16,0.067301,0.719127
17,0.073115,0.567291
18,0.062754,0.709504
19,0.054000,0.781204
20,0.086137,0.564701
21,0.081036,0.773831
22,0.067683,0.873271
23,0.056693,0.883931
24,0.056399,0.762210
25,0.046116,0.736500
26,0.048269,0.788142
27,0.048065,0.842757
28,0.084023,0.471311
29,0.065678,0.375201
30,0.063451,0.336291
31,0.050982,0.446320
32,0.057379,0.381229
33,0.057197,0.505254
34,0.052445,0.350711
35,0.041276,0.375721
36,0.034670,0.379991
37,0.032368,0.380339
38,0.033211,0.386436
39,0.033011,0.394416
40,0.029997,0.394755
41,0.029392,0.408641
42,0.038409,0.358763
43,0.056345,0.359167
44,0.070416,0.384447
45,0.040993,0.372475
46,0.032605,0.362055
47,0.028143,0.370298
48,0.027520,0.375908
49,0.026673,0.379115
50,0.025745,0.412976
51,0.025641,0.386443
52,0.025822,0.412842
53,0.025915,0.433886
54,0.024704,0.420345
55,0.024760,0.403706
56,0.024101,0.418223
57,0.024088,0.387578
58,0.049276,0.373970
59,0.049991,0.441488
60,0.038415,0.465913
61,0.027294,0.488784
62,0.025160,0.472699
63,0.023947,0.474240
64,0.024354,0.483444
65,0.023059,0.490271
66,0.023718,0.482839
67,0.023684,0.487475
68,0.023130,0.488186
69,0.023820,0.485177
70,0.027161,0.485947
71,0.025722,0.463560
72,0.023962,0.484994
73,0.022817,0.463725
74,0.022426,0.486433
75,0.022658,0.481040
76,0.022361,0.472910
77,0.076386,0.683200
78,0.107175,0.431931
79,0.069646,0.400775
80,0.051153,0.394348
