epoch,train_loss,val_loss
1,0.415591,0.458379
2,0.233109,0.584420
3,0.189278,0.570690
4,0.168131,0.735285
5,0.148445,0.817547
6,0.165013,0.824370
7,0.137901,0.803279
8,0.127226,0.805184
9,0.111326,0.828630
10,0.110848,0.774045
11,0.103714,0.772860
12,0.094480,0.655272
13,0.095106,0.793578
14,0.105802,0.637566
15,0.152606,0.782197
16,0.113445,0.667713
17,0.091549,0.822715
18,0.078995,0.873172
19,0.116569,0.620599
20,0.083792,0.861702
21,0.076994,0.813787
22,0.073122,0.815232
23,0.063109,0.891775
24,0.061053,0.920844
25,0.071614,0.939915
26,0.071040,0.757747
27,0.066330,0.859656
28,0.053296,0.895299
29,0.055593,0.890622
30,0.050975,0.935259
31,0.047604,0.888843
32,0.043309,0.889552
33,0.051090,0.809588
34,0.042300,0.856357
35,0.067935,1.029089
36,0.045458,0.864800
37,0.044446,0.710171
38,0.041003,0.735031
39,0.038827,0.729100
40,0.037211,0.820956
41,0.035253,0.852900
42,0.036223,0.849511
43,0.053166,0.845953
44,0.041060,0.821163
45,0.035019,0.852375
46,0.033258,0.827411
47,0.035602,0.858127
48,0.032144,0.838213
49,0.033949,0.837867
50,0.032858,0.831159
51,0.034614,0.753952
52,0.039853,0.790962
53,0.053491,0.628213
54,0.129987,0.580224
55,0.106479,0.609048
56,0.103380,0.370475
57,0.085405,0.484648
58,0.073126,0.463919
59,0.089268,0.437569
60,0.072332,0.399425
61,0.051271,0.410625
62,0.052988,0.466236
63,0.042675,0.476396
64,0.039415,0.541362
65,0.037923,0.670118
66,0.036564,0.585688
67,0.036190,0.654155
68,0.035065,0.555880
69,0.033340,0.603254
70,0.033605,0.605962
71,0.033373,0.646687
72,0.033729,0.554052
73,0.032540,0.574714
74,0.030042,0.625553
75,0.030296,0.558638
76,0.030622,0.617798
77,0.030325,0.646112
78,0.030849,0.532419
79,0.030662,0.617092
80,0.031019,0.604810
81,0.056788,0.755173
82,0.072642,0.560689
83,0.047574,0.489958
84,0.035187,0.513177
85,0.031913,0.625841
86,0.030558,0.677341
87,0.029026,0.598910
88,0.029083,0.599079
89,0.029149,0.640169
90,0.028909,0.619442
91,0.029565,0.604511
92,0.028579,0.624827
93,0.027762,0.649437
94,0.027932,0.666981
95,0.029241,0.642630
96,0.028272,0.610588
97,0.028824,0.607747
98,0.028354,0.678951
99,0.033066,0.683656
100,0.031523,0.744910
101,0.027521,0.743557
102,0.027586,0.817484
103,0.027012,0.855375
104,0.026646,0.692367
105,0.027511,0.809288
106,0.026403,0.726111
