epoch,train_loss,val_loss
1,0.387572,0.653485
2,0.222718,0.592147
3,0.184625,0.524966
4,0.178963,0.387495
5,0.147832,0.522899
6,0.131587,0.422844
7,0.122010,0.388981
8,0.121211,0.492160
9,0.127722,0.531207
10,0.110642,0.423145
11,0.137874,0.439868
12,0.120434,0.465783
13,0.105887,0.494227
14,0.112091,0.452754
15,0.103854,0.527905
16,0.087549,0.485369
17,0.085373,0.402594
18,0.090142,0.389188
19,0.123028,0.368640
20,0.088836,0.448721
21,0.085741,0.388527
22,0.087680,0.408953
23,0.071301,0.424481
24,0.061013,0.442037
25,0.074190,0.419565
26,0.064834,0.399591
27,0.087856,0.410995
28,0.071300,0.484801
29,0.070348,0.444390
30,0.105838,0.446358
31,0.137306,0.452509
32,0.093200,0.453434
33,0.069670,0.544983
34,0.106323,0.495233
35,0.082843,0.543517
36,0.066009,0.572482
37,0.069330,0.444660
38,0.070484,0.536413
39,0.070329,0.562818
40,0.057310,0.629579
41,0.048626,0.647313
42,0.054217,0.548695
43,0.059403,0.549168
44,0.045270,0.598420
45,0.055330,0.592383
46,0.086716,0.483773
47,0.069953,0.488354
48,0.049146,0.509403
49,0.045365,0.491308
50,0.050642,0.574106
51,0.040935,0.612619
52,0.039806,0.614224
53,0.037885,0.623709
54,0.041813,0.521195
55,0.038324,0.610336
56,0.048707,0.531802
57,0.051139,0.572941
58,0.038855,0.565357
59,0.035121,0.565216
60,0.036684,0.609629
61,0.035056,0.604081
62,0.052184,0.552177
63,0.073257,0.516076
64,0.050082,0.579521
65,0.042241,0.574067
66,0.035764,0.607411
67,0.033554,0.551510
68,0.036437,0.519959
69,0.038688,0.482841
70,0.033016,0.526606
71,0.033063,0.510564
72,0.032764,0.499242
73,0.031201,0.530013
74,0.029238,0.498549
75,0.030232,0.556463
76,0.030475,0.526843
77,0.030203,0.513742
78,0.034688,0.507265
79,0.061900,0.533311
80,0.052677,0.547184
