epoch,train_loss,val_loss
1,0.522503,0.587895
2,0.297720,0.600910
3,0.242331,0.671606
4,0.211111,0.682115
5,0.183157,0.626200
6,0.165942,0.711293
7,0.155696,0.699510
8,0.139546,0.748756
9,0.142808,0.670650
10,0.127931,0.641204
11,0.125075,0.729036
12,0.117950,0.528734
13,0.108780,0.654518
14,0.106431,0.588243
15,0.108528,0.654374
16,0.105729,0.637371
17,0.091083,0.657331
18,0.096896,0.635915
19,0.091728,0.629801
20,0.103340,0.624103
21,0.093688,0.581135
22,0.073995,0.590981
23,0.105058,0.576795
24,0.090048,0.613625
25,0.099397,0.610475
26,0.079761,0.753479
27,0.077462,0.683472
28,0.073239,0.650097
29,0.112677,0.830067
30,0.097591,0.779647
31,0.075356,0.791049
32,0.071999,0.747361
33,0.074650,0.796203
34,0.067211,0.805045
35,0.065227,0.839230
36,0.065597,0.730834
37,0.061614,0.693713
38,0.063822,0.646066
39,0.065018,0.641330
40,0.059393,0.719652
41,0.056673,0.729798
42,0.056782,0.605755
43,0.054840,0.631832
44,0.071715,0.543039
45,0.054682,0.532542
46,0.046890,0.592127
47,0.044398,0.524593
48,0.065022,0.537144
49,0.074100,0.572285
50,0.054080,0.516448
51,0.058918,0.512333
52,0.053168,0.541108
53,0.050213,0.607426
54,0.048181,0.657746
55,0.046979,0.537511
56,0.044738,0.587120
57,0.045138,0.515714
58,0.040687,0.531393
59,0.039757,0.592512
60,0.042506,0.613399
61,0.044197,0.559385
62,0.038360,0.542780
63,0.056610,0.587200
64,0.096167,0.873944
65,0.089933,0.771560
66,0.060735,0.649038
67,0.059204,0.649750
68,0.057661,0.545064
69,0.045165,0.551159
70,0.040560,0.605400
71,0.038359,0.566902
72,0.036311,0.624441
73,0.035137,0.626059
74,0.035070,0.598211
75,0.033189,0.606663
76,0.032951,0.598586
77,0.032801,0.637115
78,0.033236,0.661463
79,0.034626,0.597426
80,0.032193,0.628087
81,0.031605,0.650776
82,0.035050,0.692935
83,0.034009,0.652263
84,0.035272,0.665074
85,0.035190,0.668882
86,0.051641,0.682103
87,0.037275,0.661513
88,0.032124,0.643405
89,0.030621,0.638946
90,0.031020,0.653458
91,0.043423,0.590111
92,0.040182,0.672631
93,0.033301,0.701768
94,0.030352,0.683396
95,0.030909,0.673768
96,0.030299,0.675441
97,0.029724,0.682371
98,0.029572,0.667789
99,0.030215,0.666054
100,0.031125,0.690872
101,0.031855,0.708352
