epoch,train_loss,val_loss
1,0.361715,0.523212
2,0.214690,0.518769
3,0.173481,0.469784
4,0.167428,0.528820
5,0.143138,0.500557
6,0.127542,0.588310
7,0.120999,0.574791
8,0.118383,0.563761
9,0.117997,0.536225
10,0.102467,0.705584
11,0.132473,0.625002
12,0.129501,0.578827
13,0.109739,0.447968
14,0.094378,0.566134
15,0.100703,0.490507
16,0.087973,0.500902
17,0.164138,0.862251
18,0.114440,0.740473
19,0.100824,0.757933
20,0.100258,0.504644
21,0.087414,0.584665
22,0.071980,0.641754
23,0.075038,0.666884
24,0.080812,0.372825
25,0.122946,0.838407
26,0.085074,0.775900
27,0.075401,0.776415
28,0.070322,0.793627
29,0.072899,0.704733
30,0.098502,0.650756
31,0.101653,0.743561
32,0.094626,0.764120
33,0.077394,0.775556
34,0.071844,0.784754
35,0.069681,0.679937
36,0.083488,0.828101
37,0.076619,0.633627
38,0.085943,0.521435
39,0.067380,0.598958
40,0.054077,0.608998
41,0.051659,0.684680
42,0.051404,0.664190
43,0.046945,0.808328
44,0.061138,0.691832
45,0.049709,0.732718
46,0.059749,0.729667
47,0.053317,0.555663
48,0.054949,0.543476
49,0.120888,0.547014
50,0.076591,0.522079
51,0.067693,0.601504
52,0.056941,0.636011
53,0.074304,0.528500
54,0.054127,0.583085
55,0.051616,0.608982
56,0.063283,0.679677
57,0.089659,0.554615
58,0.058281,0.551019
59,0.074031,0.595000
60,0.054512,0.613453
61,0.049457,0.686573
62,0.049213,0.736119
63,0.046473,0.810733
64,0.198997,0.473818
65,0.105426,0.388053
66,0.082091,0.393339
67,0.074508,0.387338
68,0.068183,0.401801
69,0.064284,0.388242
70,0.069256,0.437062
71,0.062624,0.441165
72,0.052651,0.410256
73,0.048930,0.352710
74,0.051705,0.389583
75,0.068593,0.340750
76,0.075065,0.385272
77,0.047798,0.399363
78,0.067495,0.401380
79,0.050248,0.385910
80,0.044310,0.385462
81,0.039716,0.387097
82,0.036916,0.374827
83,0.036309,0.384335
84,0.057095,0.407788
85,0.055549,0.403077
86,0.039831,0.380543
87,0.036180,0.360335
88,0.036199,0.371996
89,0.036185,0.389736
90,0.036060,0.347466
91,0.049411,0.350941
92,0.040369,0.415646
93,0.034117,0.383002
94,0.036879,0.393714
95,0.034249,0.373538
96,0.031942,0.369429
97,0.031133,0.378906
98,0.031088,0.406539
99,0.054088,0.393325
100,0.069534,0.354712
101,0.054060,0.366782
102,0.045022,0.362414
103,0.046503,0.361127
104,0.042831,0.409186
105,0.039955,0.395728
106,0.062075,0.341762
107,0.046588,0.389451
108,0.035967,0.404300
109,0.032877,0.366528
110,0.109732,0.479556
111,0.117809,0.331983
112,0.066064,0.333985
113,0.048262,0.333936
114,0.041871,0.353279
115,0.038688,0.327667
116,0.036141,0.357012
117,0.036318,0.358075
118,0.033494,0.344560
119,0.034932,0.359791
120,0.046754,0.346408
121,0.036949,0.358047
122,0.032312,0.360065
123,0.030762,0.359475
124,0.030642,0.367075
125,0.032184,0.364044
126,0.043077,0.435083
127,0.051068,0.358354
128,0.045378,0.399482
129,0.045631,0.378734
130,0.046026,0.397775
131,0.036535,0.402071
132,0.034942,0.375799
133,0.030788,0.384499
134,0.030619,0.351244
135,0.033140,0.401590
136,0.029617,0.384072
137,0.032173,0.362250
138,0.032998,0.383713
139,0.029981,0.390112
140,0.029074,0.379124
141,0.052255,0.346586
142,0.087430,0.434039
143,0.080949,0.424501
144,0.058909,0.346318
145,0.047421,0.357012
146,0.043331,0.426654
147,0.052332,0.379087
148,0.041535,0.362063
149,0.036945,0.344956
150,0.035446,0.364439
151,0.033057,0.352799
152,0.031178,0.364497
153,0.031823,0.334662
154,0.030745,0.357869
155,0.029695,0.349315
156,0.030665,0.367182
157,0.029907,0.375819
158,0.028888,0.373163
159,0.029522,0.379038
160,0.029211,0.356673
161,0.029176,0.377428
162,0.028970,0.374564
163,0.051544,0.346897
164,0.118815,0.338528
165,0.126691,0.383826
