epoch,train_loss,val_loss
1,0.342876,0.481842
2,0.215192,0.724638
3,0.185216,0.435996
4,0.164012,0.481255
5,0.144053,0.570498
6,0.152142,0.816678
7,0.133317,0.599656
8,0.121583,0.652055
9,0.119533,0.761754
10,0.124776,0.495783
11,0.135785,0.707765
12,0.111885,0.557244
13,0.104827,0.617682
14,0.096164,0.594936
15,0.110942,0.625797
16,0.100253,0.705446
17,0.094539,0.697912
18,0.088505,0.533207
19,0.101881,0.475410
20,0.088663,0.593724
21,0.082456,0.550984
22,0.071991,0.506300
23,0.071369,0.616944
24,0.075879,0.529451
25,0.069586,0.551163
26,0.059698,0.519848
27,0.062448,0.548334
28,0.062665,0.579542
29,0.053101,0.558861
30,0.054049,0.468392
31,0.049232,0.469763
32,0.055112,0.550276
33,0.066436,0.523775
34,0.054277,0.518464
35,0.046058,0.490357
36,0.045532,0.532810
37,0.045551,0.497544
38,0.045722,0.589871
39,0.044020,0.574250
40,0.045504,0.576257
41,0.045486,0.592144
42,0.053582,0.572468
43,0.044235,0.587632
44,0.042586,0.673100
45,0.072068,0.569222
46,0.079360,0.597209
47,0.083484,0.574717
48,0.066829,0.603798
49,0.101833,0.573522
50,0.088400,0.484099
51,0.065483,0.489233
52,0.065589,0.507905
53,0.054031,0.497261
54,0.057016,0.554691
55,0.048823,0.491895
56,0.047887,0.503568
57,0.043041,0.486417
58,0.042232,0.452753
59,0.042305,0.443886
60,0.070161,0.429670
61,0.069667,0.409096
62,0.057669,0.500420
63,0.073318,0.502628
64,0.065053,0.342726
65,0.067961,0.472059
66,0.049512,0.509222
67,0.047359,0.561483
68,0.040330,0.580316
69,0.043573,0.488178
70,0.040130,0.426243
71,0.038627,0.437003
72,0.038258,0.440663
73,0.039099,0.383244
74,0.043741,0.487672
75,0.070584,0.428770
76,0.083834,0.395887
77,0.070406,0.396158
78,0.059056,0.388222
79,0.060421,0.403578
80,0.044692,0.395223
81,0.068046,0.376369
82,0.045429,0.384687
83,0.043542,0.386306
84,0.039827,0.365633
85,0.039256,0.376959
86,0.035667,0.425639
87,0.036478,0.366824
88,0.035725,0.395601
89,0.035420,0.408194
90,0.034975,0.397308
91,0.034686,0.413206
92,0.034459,0.394773
93,0.033897,0.446360
94,0.037556,0.410466
95,0.035963,0.408608
96,0.033770,0.397525
97,0.034029,0.391921
98,0.034445,0.405172
99,0.033528,0.441284
100,0.033419,0.410893
101,0.033631,0.427015
102,0.035457,0.428814
103,0.033868,0.386997
104,0.046288,0.420939
105,0.036450,0.421161
106,0.046410,0.485637
107,0.034042,0.414476
108,0.043562,0.422255
109,0.036744,0.417063
110,0.036369,0.450491
111,0.038686,0.397707
112,0.035354,0.454760
113,0.074669,0.396507
114,0.073161,0.488926
