epoch,train_loss,val_loss
1,0.379216,0.509076
2,0.247964,0.487178
3,0.215550,0.517892
4,0.191771,0.594616
5,0.180830,0.499488
6,0.171672,0.586696
7,0.162937,0.638507
8,0.143069,0.533333
9,0.139504,0.487635
10,0.144486,0.478487
11,0.129820,0.481667
12,0.130806,0.552475
13,0.135002,0.517878
14,0.119379,0.485699
15,0.114238,0.486034
16,0.118407,0.475366
17,0.105970,0.494120
18,0.104979,0.357016
19,0.130819,0.483517
20,0.115123,0.474680
21,0.100907,0.430948
22,0.093529,0.478941
23,0.117122,0.443195
24,0.108421,0.391425
25,0.092089,0.336584
26,0.098843,0.403534
27,0.093809,0.484176
28,0.087040,0.468287
29,0.097087,0.391607
30,0.099395,0.455556
31,0.082411,0.452832
32,0.080147,0.452083
33,0.089136,0.420182
34,0.092204,0.436878
35,0.098144,0.449549
36,0.080222,0.482071
37,0.073636,0.511975
38,0.074407,0.456774
39,0.072408,0.379212
40,0.073388,0.372514
41,0.070390,0.395916
42,0.076343,0.447391
43,0.067773,0.486331
44,0.067957,0.488137
45,0.066603,0.432093
46,0.062699,0.381991
47,0.067709,0.486558
48,0.118337,0.398966
49,0.087357,0.438701
50,0.089767,0.383202
51,0.079350,0.449212
52,0.070988,0.377350
53,0.072024,0.441232
54,0.070573,0.438014
55,0.085255,0.425270
56,0.073430,0.391429
57,0.068945,0.402065
58,0.105857,0.416283
59,0.113979,0.396562
60,0.094408,0.451634
61,0.093002,0.460399
62,0.083439,0.533759
63,0.095284,0.490799
64,0.092256,0.436697
65,0.085946,0.458669
66,0.089293,0.456705
67,0.078574,0.483026
68,0.078591,0.458422
69,0.071284,0.499451
70,0.070147,0.433819
71,0.072436,0.479076
72,0.102394,0.448801
73,0.083755,0.445092
74,0.084527,0.474220
75,0.071241,0.483888
76,0.065215,0.455261
77,0.067608,0.516621
78,0.062992,0.458678
79,0.057824,0.496537
80,0.069839,0.434082
