epoch,train_loss,val_loss
1,1.008345,1.438208
2,1.007229,1.435738
3,1.007093,1.446870
4,1.007263,1.437973
5,1.007142,1.436283
6,1.007204,1.427703
7,1.007143,1.436053
8,1.007130,1.428186
9,1.007146,1.434254
10,1.007140,1.434148
11,1.007098,1.425049
12,1.007066,1.427593
13,1.007234,1.423499
14,1.007062,1.430002
15,1.007107,1.431859
16,1.007058,1.425141
17,1.007023,1.430848
18,1.007059,1.427287
19,1.007027,1.438847
20,1.007061,1.435576
21,1.007064,1.431874
22,1.007002,1.426649
23,1.006999,1.429306
24,1.007010,1.434055
25,1.007055,1.429752
26,1.007105,1.434882
27,1.007019,1.431485
28,1.007052,1.424554
29,1.006994,1.431705
30,1.007037,1.429184
31,1.007024,1.438688
32,1.007056,1.437504
33,1.007001,1.431896
34,1.007000,1.430490
35,1.007028,1.433388
36,1.007067,1.433102
37,1.007079,1.426430
38,1.007057,1.437269
39,1.007019,1.431230
40,1.007031,1.430195
41,1.007024,1.432856
42,1.007033,1.427630
43,1.006990,1.433227
44,1.006978,1.429065
45,1.007020,1.429739
46,1.007021,1.434210
47,1.006997,1.432980
48,1.007040,1.427572
49,1.007047,1.438128
50,1.007006,1.427993
51,1.007024,1.429549
52,1.006982,1.428203
53,1.006993,1.430597
54,1.007033,1.429264
55,1.007007,1.429562
56,1.007039,1.431243
57,1.007038,1.427531
58,1.007029,1.434950
59,1.006993,1.432015
60,1.006988,1.426432
61,1.006981,1.428624
62,1.006988,1.429873
63,1.007003,1.430351
64,1.006967,1.427935
65,1.006989,1.426554
66,1.007061,1.433548
67,1.006985,1.431351
68,1.006978,1.428897
69,1.006978,1.429322
70,1.007002,1.434637
71,1.006994,1.431090
72,1.007015,1.427987
73,1.006976,1.429004
74,1.006968,1.427977
75,1.006976,1.431344
76,1.006978,1.430238
77,1.006976,1.430798
78,1.006996,1.428094
79,1.006998,1.426260
80,1.006971,1.429945
81,1.006987,1.428195
82,1.006982,1.429180
83,1.006961,1.430689
84,1.007002,1.432242
85,1.006967,1.433487
86,1.006973,1.430308
87,1.006983,1.428904
88,1.006972,1.429017
89,1.006982,1.431809
90,1.006984,1.432624
91,1.006965,1.428570
92,1.006972,1.429998
93,1.006986,1.430672
94,1.006968,1.430017
95,1.006972,1.427618
96,1.006986,1.428593
97,1.006963,1.430288
98,1.006972,1.427992
99,1.006969,1.431915
100,1.006977,1.429633
