epoch,train_loss,val_loss
1,0.353595,0.397846
2,0.206459,0.660554
3,0.165531,0.457116
4,0.161903,0.413696
5,0.141796,0.423597
6,0.123816,0.369291
7,0.119992,0.386248
8,0.101048,0.372884
9,0.107515,0.491913
10,0.116393,0.425259
11,0.099260,0.448054
12,0.098957,0.505891
13,0.126440,0.404651
14,0.099646,0.427684
15,0.092635,0.667024
16,0.093593,0.741568
17,0.091368,0.417077
18,0.083458,0.783348
19,0.083205,0.520420
20,0.076830,0.835235
21,0.073331,0.786645
22,0.079781,0.592478
23,0.082248,0.718302
24,0.155003,0.439027
25,0.120309,0.440487
26,0.081796,0.562232
27,0.078027,0.433582
28,0.065485,0.430345
29,0.061355,0.467840
30,0.062176,0.465098
31,0.055820,0.579156
32,0.055741,0.629658
33,0.063278,0.532138
34,0.054099,0.602987
35,0.047385,0.529358
36,0.044041,0.499560
37,0.043274,0.554150
38,0.042202,0.514536
39,0.043918,0.482874
40,0.042102,0.438945
41,0.036209,0.522394
42,0.038749,0.526583
43,0.041397,0.457468
44,0.037688,0.463735
45,0.035125,0.503374
46,0.035004,0.497998
47,0.033514,0.491301
48,0.044221,0.498691
49,0.054424,0.487190
50,0.038676,0.502569
51,0.034814,0.551554
52,0.051747,0.481168
53,0.046572,0.505025
54,0.053083,0.492329
55,0.038222,0.462455
56,0.032450,0.448489
57,0.030928,0.471375
58,0.032833,0.492672
59,0.033541,0.497343
60,0.032389,0.452037
61,0.030727,0.498546
62,0.028076,0.522971
63,0.027454,0.520696
64,0.027922,0.532815
65,0.028077,0.511452
66,0.027886,0.534737
67,0.031119,0.516125
68,0.035218,0.520680
69,0.028851,0.553109
70,0.028434,0.545151
71,0.033384,0.569700
72,0.032059,0.560552
73,0.028665,0.540266
74,0.027324,0.557948
75,0.028607,0.543477
76,0.028016,0.545463
77,0.040335,0.472440
78,0.054207,0.420469
79,0.084060,0.426622
80,0.072024,0.399343
