epoch,train_loss,val_loss
1,0.462772,0.552567
2,0.297046,0.658407
3,0.266670,0.573311
4,0.239379,0.718890
5,0.202489,0.654797
6,0.189068,0.653030
7,0.186777,0.587395
8,0.176149,0.681189
9,0.171036,0.728207
10,0.150947,0.636421
11,0.153039,0.654984
12,0.137108,0.611459
13,0.138652,0.672027
14,0.138841,0.643561
15,0.144318,0.693280
16,0.130053,0.751231
17,0.145405,0.734824
18,0.132332,0.690909
19,0.128725,0.660237
20,0.135834,0.662056
21,0.130663,0.923522
22,0.127843,0.876819
23,0.122786,0.823120
24,0.173230,0.628171
25,0.145633,0.768611
26,0.189427,0.667840
27,0.135176,0.693947
28,0.124411,0.672849
29,0.120048,0.652442
30,0.119734,0.836281
31,0.164605,0.757133
32,0.127382,0.779111
33,0.118784,0.702785
34,0.105690,0.698217
35,0.098510,0.849409
36,0.234370,0.577833
37,0.169616,0.662202
38,0.130583,0.660778
39,0.134049,0.708940
40,0.114026,0.693654
41,0.102064,0.752384
42,0.093041,0.778820
43,0.130589,0.703217
44,0.122148,0.846422
45,0.128763,0.758593
46,0.126072,0.711383
47,0.102946,0.708042
48,0.184789,0.699885
49,0.127565,0.773652
50,0.109010,0.799243
51,0.097716,0.824705
52,0.106773,0.767044
53,0.095747,0.860010
54,0.097068,0.846917
55,0.157544,0.555806
56,0.191441,0.795292
57,0.147298,0.702955
58,0.113590,0.713385
59,0.222938,1.179186
60,0.769491,0.554236
61,0.354774,0.568572
62,0.344439,0.561942
63,0.338307,0.542326
64,0.333143,0.625950
65,0.343746,0.540296
66,0.332655,0.599898
67,0.335492,0.594575
68,0.329944,0.593044
69,0.331375,0.584946
70,0.319745,0.672837
71,0.315124,0.638934
72,0.315809,0.609193
73,0.316625,0.703424
74,0.297088,0.700186
75,0.293704,0.685742
76,0.294350,0.792481
77,0.287606,0.692249
78,0.285064,0.704146
79,0.309193,0.637176
80,0.367498,0.546940
81,0.334385,0.590791
82,0.318207,0.671883
83,0.308055,0.602413
84,0.299533,0.583789
85,0.300801,0.622166
86,0.315832,0.661243
87,0.300370,0.594846
88,0.295182,0.668568
89,0.286835,0.697204
90,0.292771,0.653914
91,0.293030,0.619970
92,0.289566,0.658883
93,0.292145,0.698459
94,0.285828,0.535410
95,0.295865,0.666650
96,0.290077,0.638493
97,0.273236,0.661753
98,0.273706,0.686207
99,0.270236,0.681956
100,0.298295,0.638663
101,0.276086,0.624420
102,0.261913,0.644688
103,0.265797,0.670119
104,0.268805,0.658085
105,0.268034,0.604406
106,0.276700,0.644288
107,0.270075,0.625794
108,0.264265,0.696767
109,0.289882,0.650111
110,0.843339,1.445789
111,0.932774,0.636185
112,0.826527,1.512229
113,0.815033,0.578871
114,0.588228,0.603967
115,0.365396,0.617990
116,0.342107,0.586149
117,0.337724,0.587392
118,0.335922,0.603290
119,0.336677,0.608130
120,0.335176,0.568060
121,0.336572,0.609262
122,0.328438,0.558209
123,0.329763,0.598701
124,0.325641,0.601604
125,0.331526,0.569850
126,0.333783,0.601801
127,0.322752,0.548509
128,0.335176,0.604579
129,0.367473,0.586625
130,0.338203,0.584333
131,0.325340,0.610467
132,0.325534,0.593114
133,0.320791,0.590146
134,0.322068,0.589548
135,0.316410,0.627107
136,0.409739,0.565746
137,0.334956,0.598743
138,0.327647,0.575433
139,0.323750,0.609847
140,0.320478,0.655986
141,0.319556,0.626950
142,0.315669,0.653732
143,0.317292,0.711483
144,0.311146,0.672132
