epoch,train_loss,val_loss
1,0.457292,0.564921
2,0.286904,0.662138
3,0.244834,0.651686
4,0.216092,0.680966
5,0.198386,0.821849
6,0.170536,0.680376
7,0.171113,0.759864
8,0.161002,0.775983
9,0.152604,0.706660
10,0.134099,0.654274
11,0.136008,0.682889
12,0.137628,0.710971
13,0.127952,0.685474
14,0.118981,0.691525
15,0.110703,0.691402
16,0.103134,0.706246
17,0.107094,0.666974
18,0.092329,0.714142
19,0.087963,0.709005
20,0.147136,0.785404
21,0.126698,0.671259
22,0.100823,0.638906
23,0.082230,0.571215
24,0.090506,0.653409
25,0.078974,0.676924
26,0.077285,0.643106
27,0.074389,0.725944
28,0.067732,0.770803
29,0.073480,0.731788
30,0.077738,0.737705
31,0.077661,0.671123
32,0.068878,0.744866
33,0.056296,0.779548
34,0.055898,0.749727
35,0.109592,0.682722
36,0.118454,0.651451
37,0.079159,0.710342
38,0.070897,0.627943
39,0.064186,0.751288
40,0.054370,0.720287
41,0.050082,0.752786
42,0.049709,0.668436
43,0.046474,0.748092
44,0.053147,0.829839
45,0.048681,0.772725
46,0.043221,0.687593
47,0.168759,0.581043
48,0.098154,0.546642
49,0.068205,0.654407
50,0.056881,0.610300
51,0.051218,0.608404
52,0.055635,0.637459
53,0.074133,0.663291
54,0.064862,0.624939
55,0.053487,0.641497
56,0.047934,0.672002
57,0.044616,0.641909
58,0.040828,0.665667
59,0.042077,0.622935
60,0.038683,0.633391
61,0.042252,0.657114
62,0.039309,0.670501
63,0.055592,0.642337
64,0.041616,0.635327
65,0.038067,0.680480
66,0.035782,0.690432
67,0.163849,0.469946
68,0.118809,0.590887
69,0.073801,0.533464
70,0.067812,0.473618
71,0.058571,0.582046
72,0.048978,0.592204
73,0.048949,0.610812
74,0.052719,0.632358
75,0.043479,0.650937
76,0.043949,0.603469
77,0.039314,0.631642
78,0.037638,0.640456
79,0.039790,0.562258
80,0.040937,0.695433
81,0.039615,0.689895
82,0.037972,0.670148
83,0.037953,0.649061
84,0.037583,0.640981
85,0.035407,0.707322
86,0.036162,0.710361
87,0.039937,0.651813
88,0.045273,0.526411
89,0.036846,0.702244
90,0.038546,0.630317
91,0.036940,0.683184
92,0.033918,0.739263
93,0.035553,0.674680
94,0.044891,0.704604
95,0.051193,0.539633
96,0.099589,0.537225
97,0.064903,0.554452
98,0.123892,0.665166
99,0.070214,0.663499
100,0.057459,0.667574
101,0.049558,0.658361
102,0.041414,0.710072
103,0.039972,0.643356
104,0.045841,0.728900
105,0.037880,0.673366
106,0.042143,0.666828
107,0.037351,0.706079
108,0.035469,0.687119
109,0.033185,0.693824
110,0.036139,0.594507
111,0.115275,0.444335
112,0.088786,0.629085
113,0.066562,0.653833
114,0.056063,0.699498
115,0.050738,0.766569
116,0.046365,0.754456
117,0.045766,0.704801
118,0.048617,0.751161
119,0.045294,0.747712
120,0.039758,0.800151
121,0.038191,0.747178
122,0.041234,0.758565
123,0.038205,0.794324
124,0.039079,0.730500
125,0.037025,0.674805
126,0.050675,0.598503
127,0.067125,0.648936
128,0.080217,0.549402
129,0.069485,0.468498
130,0.047211,0.625443
131,0.041576,0.634055
132,0.037023,0.661756
133,0.035583,0.646845
134,0.036009,0.541129
135,0.054649,0.633720
136,0.076030,0.538669
137,0.044597,0.530915
138,0.039089,0.650980
139,0.035886,0.630960
140,0.035063,0.608816
141,0.035446,0.597697
142,0.032850,0.636335
143,0.032902,0.604747
144,0.033120,0.647119
145,0.032989,0.656847
146,0.033140,0.560421
147,0.033035,0.625833
148,0.030799,0.654373
149,0.031671,0.702564
150,0.031878,0.575404
151,0.034182,0.605573
152,0.034674,0.670120
153,0.030014,0.626429
154,0.031149,0.600333
155,0.030929,0.633869
156,0.032089,0.667112
157,0.031012,0.648652
158,0.033225,0.621832
159,0.048879,0.503763
160,0.066205,0.497225
161,0.084673,0.684512
