epoch,train_loss,val_loss
1,0.373509,0.678405
2,0.220329,0.709564
3,0.163238,0.671709
4,0.147170,0.735435
5,0.129427,0.765381
6,0.110060,0.735518
7,0.111764,0.724720
8,0.104137,0.687619
9,0.090970,0.735700
10,0.130952,0.646536
11,0.110208,0.719253
12,0.095882,0.572448
13,0.107109,0.667694
14,0.073229,0.649395
15,0.062798,0.472622
16,0.075467,0.482182
17,0.064514,0.534367
18,0.052810,0.494030
19,0.047772,0.485775
20,0.045215,0.459501
21,0.042893,0.436940
22,0.060873,0.498218
23,0.054383,0.529476
24,0.048398,0.503377
25,0.043330,0.524418
26,0.036657,0.564870
27,0.071422,0.493818
28,0.063961,0.518368
29,0.041475,0.526645
30,0.040955,0.502296
31,0.063740,0.452044
32,0.078490,0.469313
33,0.043901,0.487508
34,0.036470,0.469615
35,0.040800,0.461400
36,0.035987,0.476427
37,0.064757,0.523149
38,0.048645,0.506160
39,0.032625,0.555436
40,0.046318,0.454706
41,0.040422,0.537062
42,0.032831,0.551017
43,0.028847,0.527989
44,0.027266,0.585452
45,0.027308,0.584817
46,0.027205,0.584238
47,0.034907,0.507381
48,0.031799,0.539069
49,0.027225,0.568495
50,0.034241,0.584994
51,0.026381,0.571129
52,0.025393,0.585088
53,0.024893,0.593054
54,0.042417,0.520096
55,0.127042,0.434931
56,0.093067,0.468706
57,0.055963,0.435439
58,0.055238,0.407454
59,0.052522,0.428187
60,0.036260,0.430503
61,0.032027,0.452145
62,0.036664,0.407148
63,0.031485,0.430768
64,0.029839,0.435873
65,0.027373,0.448805
66,0.027751,0.408823
67,0.026632,0.425932
68,0.028289,0.410658
69,0.030148,0.399361
70,0.027242,0.435043
71,0.034938,0.403535
72,0.049820,0.452378
73,0.030689,0.438235
74,0.026769,0.435289
75,0.025906,0.460858
76,0.025675,0.445044
77,0.024951,0.478793
78,0.024489,0.518289
79,0.030352,0.531796
80,0.061462,0.443248
81,0.041675,0.480546
82,0.030408,0.473077
83,0.031780,0.414572
84,0.028356,0.472057
85,0.027377,0.552425
86,0.026395,0.551352
87,0.028181,0.571016
88,0.024965,0.531542
89,0.023808,0.633625
90,0.024561,0.523372
91,0.024081,0.676335
92,0.080745,0.571471
93,0.143032,0.487288
94,0.108551,0.455349
95,0.074395,0.415920
96,0.056011,0.446256
97,0.052108,0.524925
98,0.050724,0.549098
99,0.093619,0.500783
100,0.057699,0.464449
101,0.049685,0.440627
102,0.047023,0.495382
103,0.034687,0.478784
104,0.031546,0.452818
105,0.030230,0.508752
106,0.028982,0.473500
107,0.029538,0.507012
108,0.032061,0.509029
109,0.047139,0.538057
110,0.108213,0.447615
111,0.082929,0.440755
112,0.053620,0.441671
113,0.036679,0.439884
114,0.030583,0.466716
115,0.030145,0.445886
116,0.027913,0.465508
117,0.026852,0.494870
118,0.026110,0.495962
119,0.026535,0.471794
