epoch,train_loss,val_loss
1,0.926174,0.528761
2,0.398366,0.634563
3,0.379867,0.621930
4,0.339276,0.513233
5,0.305227,0.547712
6,0.285301,0.685450
7,0.282118,0.557978
8,0.268746,0.576169
9,0.250932,0.606672
10,0.248365,0.666552
11,0.245119,0.635222
12,0.243467,0.650846
13,0.238249,0.613246
14,0.236540,0.635772
15,0.234623,0.620104
16,0.234345,0.596402
17,0.232005,0.672640
18,0.232692,0.629700
19,0.228923,0.655008
20,0.229831,0.710440
21,0.223516,0.697544
22,0.223945,0.706340
23,0.223837,0.673616
24,0.220102,0.753338
25,0.224696,0.760174
26,0.213575,0.721194
27,0.211847,0.715393
28,0.203390,0.681795
29,0.204477,0.761437
30,0.200443,0.741888
31,0.205283,0.799123
32,0.204452,0.720722
33,0.195949,0.835121
34,0.198477,0.720082
35,0.195717,0.626840
36,0.194645,0.668091
37,0.185013,0.711679
38,0.178241,0.705735
39,0.180064,0.735388
40,0.184642,0.683992
41,0.171313,0.683023
42,0.162488,0.809498
43,0.165196,0.738189
44,0.159763,0.749448
45,0.168333,0.670189
46,0.161865,0.664805
47,0.155226,0.634285
48,0.154658,0.707726
49,0.150033,0.708237
50,0.147553,0.703239
51,0.154866,0.712237
52,0.142512,0.755882
53,0.143327,0.706721
54,0.142075,0.729254
55,0.151231,0.674948
56,0.147096,0.744532
57,0.135931,0.808804
58,0.136372,0.772335
59,0.130313,0.802169
60,0.134986,0.775268
61,0.131240,0.853894
62,0.133404,0.784582
63,0.128836,0.829545
64,0.126928,0.837646
65,0.129352,0.809294
66,0.127966,0.746979
67,0.136300,0.822373
68,0.127636,0.802978
69,0.132072,0.802053
70,0.123217,0.849495
71,0.119968,0.862677
72,0.124431,0.798521
73,0.129036,0.771932
74,0.130217,0.806096
75,0.119627,0.837110
76,0.112237,0.848925
77,0.116690,0.820757
78,0.114541,0.802944
79,0.114916,0.803806
80,0.115489,0.830815
