epoch,train_loss,val_loss
1,1.007008,1.471045
2,1.006723,1.435375
3,1.006634,1.448779
4,1.006685,1.431721
5,1.006991,1.430909
6,1.006640,1.433776
7,1.006693,1.431660
8,1.006773,1.406446
9,1.006735,1.429110
10,1.006649,1.420683
11,1.006583,1.429119
12,1.006587,1.436000
13,1.006608,1.434364
14,1.006576,1.434602
15,1.006594,1.433472
16,1.006563,1.426735
17,1.006569,1.430320
18,1.006610,1.428411
19,1.006602,1.429979
20,1.006641,1.434936
21,1.006606,1.421336
22,1.006697,1.436043
23,1.006639,1.431602
24,1.006589,1.437617
25,1.006597,1.424438
26,1.006614,1.425364
27,1.006612,1.431071
28,1.006689,1.424215
29,1.006602,1.431504
30,1.006632,1.422118
31,1.006872,1.422177
32,1.006644,1.428420
33,1.006669,1.440551
34,1.006631,1.426987
35,1.006579,1.428707
36,1.006662,1.434403
37,1.006651,1.430420
38,1.006583,1.429221
39,1.006591,1.424686
40,1.006633,1.423350
41,1.006678,1.423019
42,1.006612,1.429603
43,1.006668,1.418994
44,1.006694,1.441972
45,1.006667,1.430997
46,1.006683,1.419453
47,1.006594,1.432399
48,1.006626,1.427312
49,1.006525,1.440967
50,1.006622,1.431997
51,1.006918,1.431299
52,1.006586,1.429609
53,1.006567,1.427412
54,1.006632,1.426245
55,1.006762,1.415145
56,1.006794,1.421850
57,1.006791,1.423250
58,1.006632,1.431518
59,1.006625,1.425060
60,1.006601,1.424198
61,1.006672,1.419300
62,1.006659,1.422819
63,1.006591,1.436898
64,1.006579,1.433274
65,1.006664,1.432060
66,1.006565,1.427582
67,1.006601,1.433517
68,1.006586,1.431630
69,1.006616,1.436797
70,1.006740,1.438275
71,1.006561,1.433687
72,1.006579,1.431945
73,1.006581,1.430437
74,1.006633,1.433670
75,1.006677,1.434161
76,1.006601,1.430579
77,1.006580,1.430029
78,1.006585,1.427968
79,1.006627,1.437030
80,1.006729,1.439384
81,1.006645,1.439863
82,1.006619,1.438657
83,1.006685,1.439035
84,1.006572,1.430461
85,1.006546,1.431903
86,1.006606,1.432633
87,1.006610,1.436238
88,1.006668,1.429650
89,1.006642,1.416365
90,1.006550,1.440059
91,1.006587,1.413393
92,1.006771,1.430735
93,1.006927,1.428620
94,1.006714,1.425560
95,1.006576,1.428480
96,1.006634,1.433325
97,1.006804,1.439084
98,1.006595,1.429384
99,1.006660,1.438887
100,1.006609,1.429514
