epoch,train_loss,val_loss
1,0.408162,0.587702
2,0.244680,0.461539
3,0.201080,0.579833
4,0.182198,0.596151
5,0.172048,0.571935
6,0.164724,0.681107
7,0.154769,0.537056
8,0.138721,0.542062
9,0.144674,0.576444
10,0.139457,0.515183
11,0.127816,0.525744
12,0.117411,0.512909
13,0.115389,0.593002
14,0.111207,0.542979
15,0.124580,0.469770
16,0.103746,0.541506
17,0.100254,0.530898
18,0.141636,0.467692
19,0.136574,0.560114
20,0.115331,0.430365
21,0.104800,0.470081
22,0.125780,0.495924
23,0.100967,0.519274
24,0.113487,0.472476
25,0.116468,0.554969
26,0.118703,0.456686
27,0.105018,0.498846
28,0.099177,0.641079
29,0.097920,0.515802
30,0.085384,0.576216
31,0.083223,0.544605
32,0.091494,0.619019
33,0.087112,0.697938
34,0.084026,0.471599
35,0.079759,0.464535
36,0.072183,0.636835
37,0.083358,0.493690
38,0.076219,0.530716
39,0.072163,0.543024
40,0.074988,0.634838
41,0.061881,0.619401
42,0.058620,0.668722
43,0.064952,0.576933
44,0.058283,0.635669
45,0.073584,0.676768
46,0.076427,0.676775
47,0.061929,0.638654
48,0.059730,0.636671
49,0.063047,0.580258
50,0.064772,0.631861
51,0.052907,0.598127
52,0.054856,0.651457
53,0.053087,0.630806
54,0.050372,0.648273
55,0.052997,0.603358
56,0.049714,0.625901
57,0.048684,0.546801
58,0.049894,0.541604
59,0.048668,0.568907
60,0.057414,0.511764
61,0.057650,0.489183
62,0.104845,0.581235
63,0.054074,0.621631
64,0.049918,0.643887
65,0.048190,0.643131
66,0.048159,0.670288
67,0.046485,0.669210
68,0.048813,0.556430
69,0.062413,0.428185
70,0.048124,0.514229
71,0.045682,0.559139
72,0.044664,0.529532
73,0.043776,0.601408
74,0.046776,0.576712
75,0.045923,0.537326
76,0.044783,0.656243
77,0.044576,0.623788
78,0.046333,0.594384
79,0.044477,0.620217
80,0.042363,0.724689
81,0.044208,0.681864
82,0.077699,0.436559
83,0.089553,0.520731
84,0.053968,0.491310
85,0.056523,0.480585
86,0.047299,0.499675
87,0.053192,0.514211
88,0.049396,0.584056
89,0.056504,0.550433
90,0.076364,0.539325
91,0.097810,0.443729
92,0.079445,0.486388
93,0.063183,0.485230
94,0.059595,0.562853
95,0.052302,0.612611
96,0.050624,0.520498
97,0.048344,0.560971
98,0.052270,0.482446
99,0.049176,0.519740
100,0.046380,0.576164
101,0.043836,0.570001
102,0.042128,0.526119
103,0.043821,0.526027
104,0.067910,0.462976
105,0.049891,0.553378
106,0.052168,0.554531
107,0.042411,0.564221
108,0.041660,0.550524
109,0.040164,0.539293
110,0.043423,0.560101
111,0.047067,0.600837
112,0.044768,0.551168
113,0.043211,0.529001
114,0.040360,0.570367
115,0.041368,0.518897
116,0.039144,0.554968
117,0.039865,0.549139
118,0.041347,0.594085
119,0.041326,0.525719
