epoch,train_loss,val_loss
1,1.007709,1.522224
2,1.008153,1.429250
3,1.007453,1.424032
4,1.007391,1.462288
5,1.007372,1.433092
6,1.007359,1.415052
7,1.007261,1.420355
8,1.007344,1.417797
9,1.007202,1.428350
10,1.007142,1.422006
11,1.007233,1.432591
12,1.007165,1.431877
13,1.007135,1.421548
14,1.007177,1.430436
15,1.007127,1.427161
16,1.007197,1.429075
17,1.007168,1.418540
18,1.007217,1.422854
19,1.007310,1.429605
20,1.007095,1.419563
21,1.007246,1.418742
22,1.007180,1.448584
23,1.007287,1.426315
24,1.007171,1.427544
25,1.007097,1.438434
26,1.007069,1.430191
27,1.007194,1.445439
28,1.007245,1.410310
29,1.007254,1.425683
30,1.007192,1.439053
31,1.007183,1.419843
32,1.007204,1.429870
33,1.007114,1.429850
34,1.007136,1.427533
35,1.007109,1.429357
36,1.007113,1.424640
37,1.007058,1.429225
38,1.007142,1.427010
39,1.007229,1.421007
40,1.007069,1.428769
41,1.007107,1.429381
42,1.007124,1.433188
43,1.007121,1.422704
44,1.007124,1.434457
45,1.007186,1.445349
46,1.007275,1.447691
47,1.007244,1.435710
48,1.007177,1.400076
49,1.007450,1.431963
50,1.007125,1.435133
51,1.007096,1.434883
52,1.007103,1.414068
53,1.007377,1.424863
54,1.007629,1.447020
55,1.007340,1.452865
56,1.007178,1.427746
57,1.007116,1.427752
58,1.007100,1.432488
59,1.007082,1.422771
60,1.007104,1.432538
61,1.007121,1.434210
62,1.007145,1.432594
63,1.007186,1.422998
64,1.007156,1.415863
65,1.007115,1.424996
66,1.007079,1.429804
67,1.007095,1.434480
68,1.007100,1.420020
69,1.007343,1.424896
70,1.007176,1.435392
71,1.007103,1.430767
72,1.007072,1.428292
73,1.007165,1.426331
74,1.007110,1.427832
75,1.007059,1.431416
76,1.007205,1.413222
77,1.007238,1.419523
78,1.007114,1.421606
79,1.007165,1.423766
80,1.007230,1.446524
81,1.007186,1.430548
82,1.007127,1.428128
83,1.007277,1.429863
84,1.007218,1.423506
85,1.007241,1.424484
86,1.007438,1.427019
87,1.007211,1.431832
88,1.007192,1.432071
89,1.007099,1.430007
90,1.007101,1.425639
91,1.007114,1.436460
92,1.007215,1.431541
93,1.007046,1.425654
94,1.007099,1.429169
95,1.007140,1.429188
96,1.007113,1.425109
97,1.007074,1.426492
98,1.007081,1.424047
