epoch,train_loss,val_loss
1,1.007482,1.407175
2,1.006529,1.415185
3,1.006550,1.416509
4,1.006404,1.449337
5,1.006231,1.427103
6,1.006394,1.427535
7,1.006436,1.420730
8,1.006242,1.422587
9,1.006467,1.434090
10,1.006261,1.428478
11,1.006253,1.434563
12,1.006325,1.434208
13,1.006223,1.433751
14,1.006209,1.434368
15,1.006206,1.427270
16,1.006154,1.433251
17,1.006116,1.429402
18,1.006174,1.426112
19,1.006154,1.432903
20,1.006284,1.428766
21,1.006188,1.428696
22,1.006155,1.437322
23,1.006166,1.433071
24,1.006156,1.434568
25,1.006225,1.429078
26,1.006106,1.431903
27,1.006233,1.430727
28,1.006139,1.428082
29,1.006166,1.426011
30,1.006139,1.430731
31,1.006125,1.439220
32,1.006100,1.433762
33,1.006165,1.432505
34,1.006195,1.439514
35,1.006123,1.435411
36,1.006089,1.433203
37,1.006112,1.430313
38,1.006137,1.427390
39,1.006099,1.426718
40,1.006117,1.426361
41,1.006098,1.426513
42,1.006122,1.433000
43,1.006141,1.428768
44,1.006142,1.434672
45,1.006143,1.438032
46,1.006105,1.436662
47,1.006125,1.432227
48,1.006108,1.430859
49,1.006076,1.430363
50,1.006201,1.428006
51,1.006098,1.435300
52,1.006118,1.434558
53,1.006123,1.432402
54,1.006060,1.433498
55,1.006112,1.435406
56,1.006108,1.427025
57,1.006135,1.427987
58,1.006115,1.429378
59,1.006117,1.441099
60,1.006205,1.431704
61,1.006102,1.431759
62,1.006283,1.428430
63,1.006286,1.428174
64,1.006120,1.430861
65,1.006112,1.431625
66,1.006119,1.435612
67,1.006129,1.426262
68,1.006212,1.433461
69,1.006173,1.436295
70,1.006266,1.443632
71,1.006325,1.438606
72,1.006118,1.431433
73,1.006199,1.432468
74,1.006094,1.438449
75,1.006148,1.433055
76,1.006135,1.429164
77,1.006075,1.432150
78,1.006072,1.428138
79,1.006079,1.426330
80,1.006074,1.434971
81,1.006098,1.434784
82,1.006114,1.428569
83,1.006127,1.433813
84,1.006104,1.429765
85,1.006117,1.435052
86,1.006163,1.426268
87,1.006151,1.430251
88,1.006082,1.429811
89,1.006066,1.432219
90,1.006104,1.430519
91,1.006104,1.429217
92,1.006105,1.427823
93,1.006093,1.428911
94,1.006076,1.434698
95,1.006109,1.432216
96,1.006097,1.435707
97,1.006166,1.427979
98,1.006111,1.429689
99,1.006129,1.426187
100,1.006083,1.431937
