epoch,train_loss,val_loss
1,0.571690,0.514481
2,0.319200,0.504235
3,0.265249,0.535817
4,0.234503,0.573545
5,0.211377,0.631485
6,0.187934,0.663796
7,0.169911,0.700745
8,0.159432,0.704215
9,0.146794,0.739505
10,0.135851,0.593484
11,0.122033,0.631603
12,0.117895,0.659324
13,0.108323,0.609185
14,0.110925,0.598084
15,0.103865,0.579928
16,0.100282,0.746034
17,0.102263,0.459064
18,0.092643,0.568245
19,0.090599,0.558867
20,0.087788,0.529203
21,0.088183,0.517483
22,0.078864,0.555933
23,0.073252,0.567776
24,0.094589,0.692912
25,0.082437,0.703082
26,0.077000,0.619707
27,0.067457,0.669465
28,0.069000,0.823121
29,0.097770,0.747773
30,0.080158,0.712932
31,0.071061,0.819180
32,0.063535,0.839188
33,0.062189,0.536038
34,0.056858,0.655412
35,0.062262,0.850018
36,0.060748,0.790806
37,0.058763,0.604356
38,0.050283,0.816337
39,0.053249,0.695440
40,0.047152,0.717333
41,0.048855,0.642993
42,0.044988,0.806164
43,0.043702,0.810737
44,0.055263,0.736681
45,0.048861,0.658024
46,0.042072,0.536478
47,0.036379,0.566337
48,0.042563,0.553988
49,0.048177,0.606199
50,0.040300,0.624728
51,0.037334,0.659247
52,0.034280,0.606451
53,0.032748,0.712030
54,0.032136,0.568580
55,0.032984,0.566627
56,0.031190,0.690812
57,0.030434,0.576175
58,0.030234,0.561907
59,0.029781,0.558359
60,0.029835,0.649119
61,0.030518,0.619585
62,0.031446,0.535074
63,0.030373,0.513331
64,0.031976,0.580610
65,0.057985,0.621857
66,0.033866,0.699941
67,0.030009,0.619379
68,0.028442,0.560958
69,0.027109,0.630166
70,0.026896,0.589045
71,0.026387,0.585516
72,0.027223,0.559365
73,0.027235,0.475519
74,0.027198,0.498524
75,0.026972,0.439389
76,0.029629,0.474184
77,0.025945,0.493088
78,0.026065,0.492925
79,0.025644,0.452184
80,0.025350,0.481599
81,0.024709,0.481183
82,0.025620,0.466092
83,0.025377,0.469599
84,0.026648,0.462977
85,0.025171,0.483113
86,0.025124,0.500991
87,0.025239,0.471646
88,0.024800,0.470055
89,0.025087,0.453776
90,0.062339,0.606013
91,0.142700,0.527122
92,0.088604,0.439770
93,0.076271,0.535237
94,0.066566,0.424411
95,0.062443,0.456928
96,0.072087,0.442551
97,0.058591,0.471179
98,0.045367,0.456787
99,0.044058,0.415869
100,0.036937,0.459244
101,0.042409,0.873656
102,0.044742,0.777995
103,0.045635,0.822556
104,0.114108,0.689035
105,0.084963,0.488121
106,0.053464,0.521814
107,0.041044,0.701800
108,0.041400,0.681670
109,0.035366,0.621323
110,0.034096,0.705180
111,0.030871,0.557579
112,0.040880,0.522780
113,0.037447,0.426906
114,0.034438,0.432672
115,0.036300,0.419026
116,0.029618,0.438277
117,0.029535,0.447232
118,0.027855,0.433269
119,0.026232,0.441974
120,0.025832,0.452265
121,0.025482,0.444396
122,0.025306,0.448010
123,0.025872,0.456962
124,0.024796,0.444019
125,0.024727,0.464088
126,0.025917,0.456127
127,0.025469,0.468474
128,0.024575,0.456238
129,0.027088,0.447678
130,0.025507,0.451041
131,0.025483,0.472629
132,0.024359,0.477168
133,0.023772,0.471192
134,0.023895,0.458542
135,0.024716,0.492354
136,0.024187,0.468170
137,0.024218,0.474112
138,0.023485,0.466355
139,0.022994,0.476311
140,0.027059,0.506497
141,0.023148,0.500669
142,0.022913,0.490630
143,0.023184,0.508091
144,0.023744,0.496526
145,0.024160,0.477046
146,0.022953,0.504075
147,0.022551,0.470347
148,0.022366,0.483558
149,0.023328,0.526864
