epoch,train_loss,val_loss
1,0.407630,0.786485
2,0.268602,0.422727
3,0.226621,0.893879
4,0.202999,0.512964
5,0.191059,0.564146
6,0.181865,0.603803
7,0.183160,0.630818
8,0.175418,0.676035
9,0.176941,0.654671
10,0.165176,0.605136
11,0.169930,0.644340
12,0.156118,0.575636
13,0.153025,0.669152
14,0.147863,0.626704
15,0.147576,0.626683
16,0.147773,0.672844
17,0.167814,0.488133
18,0.172591,0.632779
19,0.146163,0.633221
20,0.161294,0.790507
21,0.169781,0.686856
22,0.150590,0.638576
23,0.144111,0.704322
24,0.130632,0.549446
25,0.135914,0.593331
26,0.146002,0.523865
27,0.132992,0.594045
28,0.124225,0.594540
29,0.133298,0.622586
30,0.130848,0.656821
31,0.133165,0.537188
32,0.136202,0.638811
33,0.125335,0.633744
34,0.137989,0.681685
35,0.134843,0.702505
36,0.158507,0.586232
37,0.153396,0.571185
38,0.143553,0.487451
39,0.137723,0.595751
40,0.133732,0.653271
41,0.120045,0.550289
42,0.124018,0.585596
43,0.105976,0.537411
44,0.132783,0.627929
45,0.143985,0.593153
46,0.120509,0.602268
47,0.118470,0.527072
48,0.113641,0.589686
49,0.171135,0.544801
50,0.259379,0.621418
51,0.223842,0.546696
52,0.167634,0.565756
53,0.147063,0.575158
54,0.123491,0.608551
55,0.159659,0.550196
56,0.126691,0.593227
57,0.115416,0.579509
58,0.135679,0.497122
59,0.135695,0.500934
60,0.112205,0.582122
61,0.109420,0.621980
62,0.104222,0.550163
63,0.106482,0.492967
64,0.202547,0.550053
65,0.134517,0.492633
66,0.118169,0.609126
67,0.112307,0.587938
68,0.112754,0.557473
69,0.102884,0.555508
70,0.096686,0.630946
71,0.095976,0.544994
72,0.107401,0.510505
73,0.136427,0.666072
74,0.166211,0.444115
75,0.155817,0.503169
76,0.118221,0.503472
77,0.117596,0.530377
78,0.102799,0.485618
79,0.105393,0.488246
80,0.104081,0.464343
81,0.105770,0.523457
82,0.099127,0.473974
83,0.092434,0.503821
84,0.093882,0.505814
85,0.298976,0.557252
86,0.263579,0.641038
87,0.174976,0.618953
88,0.157082,0.571905
89,0.159314,0.542811
90,0.176066,0.586816
91,0.138553,0.617020
92,0.134312,0.497613
93,0.122272,0.659762
94,0.102793,0.567189
95,0.097395,0.589620
96,0.150018,0.713476
97,0.101423,0.728227
98,0.093513,0.577404
99,0.094645,0.571573
100,0.088466,0.604721
101,0.089679,0.523665
102,0.081240,0.589865
103,0.081323,0.463281
104,0.081356,0.484181
105,0.086571,0.535935
106,0.101824,0.536127
107,0.087707,0.579488
108,0.072936,0.587076
109,0.067580,0.593875
110,0.078765,0.495409
111,0.082788,0.463618
112,0.070809,0.515248
113,0.072630,0.521760
114,0.066395,0.537924
115,0.058578,0.511246
116,0.061848,0.562794
117,0.064994,0.486311
118,0.055086,0.500449
119,0.056031,0.490963
120,0.070033,0.700757
121,0.071672,0.647068
122,0.077047,0.728981
123,0.054528,0.714704
124,0.054604,0.732483
