epoch,train_loss,val_loss
1,0.370076,0.459032
2,0.228157,0.429991
3,0.190032,0.614415
4,0.194727,0.881457
5,0.171952,0.623597
6,0.155988,0.569888
7,0.176100,0.502565
8,0.153040,0.511692
9,0.151382,0.395107
10,0.151011,0.646247
11,0.133657,0.565241
12,0.120582,0.596657
13,0.132363,0.490694
14,0.127198,0.531561
15,0.117764,0.535218
16,0.119702,0.559199
17,0.131040,0.504244
18,0.114392,0.459372
19,0.115594,0.459193
20,0.099932,0.428045
21,0.152648,0.544258
22,0.146502,0.547192
23,0.108191,0.523072
24,0.131067,0.398217
25,0.110905,0.391679
26,0.097219,0.356944
27,0.091273,0.366347
28,0.096748,0.350552
29,0.083906,0.385207
30,0.094015,0.391089
31,0.095980,0.378039
32,0.098349,0.327659
33,0.093384,0.370200
34,0.080809,0.351046
35,0.100620,0.346446
36,0.082473,0.367513
37,0.071861,0.358456
38,0.078676,0.392994
39,0.068970,0.397786
40,0.075329,0.420073
41,0.092486,0.465488
42,0.087726,0.438696
43,0.072467,0.395242
44,0.066841,0.399536
45,0.063031,0.386667
46,0.061019,0.439161
47,0.071629,0.393923
48,0.063056,0.492870
49,0.112384,0.460248
50,0.097906,0.345487
51,0.075522,0.371162
52,0.065191,0.405159
53,0.072866,0.372828
54,0.063592,0.346155
55,0.067073,0.333273
56,0.068542,0.412615
57,0.065192,0.418706
58,0.055440,0.422252
59,0.055677,0.472317
60,0.062961,0.441089
61,0.054892,0.397971
62,0.054012,0.421011
63,0.050482,0.465890
64,0.054620,0.412323
65,0.054374,0.429197
66,0.051755,0.497083
67,0.054015,0.462845
68,0.050113,0.437997
69,0.046740,0.520146
70,0.046935,0.447825
71,0.047083,0.443683
72,0.043883,0.430005
73,0.048591,0.467598
74,0.043970,0.465535
75,0.040881,0.514460
76,0.055524,0.438134
77,0.050340,0.366003
78,0.071522,0.394609
79,0.072383,0.427756
80,0.053984,0.491539
81,0.045671,0.477652
82,0.046510,0.490798
