epoch,train_loss,val_loss
1,0.427877,0.475079
2,0.245189,0.530766
3,0.208759,0.540712
4,0.173489,0.704504
5,0.157478,0.491701
6,0.139699,0.512149
7,0.123711,0.513703
8,0.118468,0.510358
9,0.105968,0.513390
10,0.101960,0.508223
11,0.101629,0.461359
12,0.091503,0.427522
13,0.114682,0.398876
14,0.089799,0.485717
15,0.079670,0.396518
16,0.086936,0.424859
17,0.071947,0.366071
18,0.116486,0.402583
19,0.080191,0.462237
20,0.066950,0.444090
21,0.129103,0.476645
22,0.102796,0.442776
23,0.108464,0.358327
24,0.091733,0.319731
25,0.081891,0.343947
26,0.072511,0.903302
27,0.075070,0.816720
28,0.069684,0.351234
29,0.074441,0.377289
30,0.089688,0.387470
31,0.064651,0.339920
32,0.057696,0.317904
33,0.050448,0.357223
34,0.047999,0.334340
35,0.048274,0.353718
36,0.060744,0.374590
37,0.099351,0.385337
38,0.074710,0.358466
39,0.061874,0.374448
40,0.057868,0.374066
41,0.048362,0.375570
42,0.044752,0.371159
43,0.041386,0.380629
44,0.038742,0.379054
45,0.045612,0.412430
46,0.037264,0.376585
47,0.034917,0.393180
48,0.069999,0.403412
49,0.117486,0.394841
50,0.087041,0.424683
51,0.065661,0.440806
52,0.070303,0.483976
53,0.066389,0.453684
54,0.054179,0.457313
55,0.049603,0.464294
56,0.047182,0.434942
57,0.047560,0.432965
58,0.042579,0.432035
59,0.039130,0.406099
60,0.037663,0.433500
61,0.044161,0.406912
62,0.037790,0.434188
63,0.034828,0.413848
64,0.036100,0.409892
65,0.041964,0.450695
66,0.071862,0.389735
67,0.064982,0.488721
68,0.039906,0.404440
69,0.037486,0.388738
70,0.034444,0.395715
71,0.034373,0.390629
72,0.032488,0.386564
73,0.031054,0.406151
74,0.034891,0.387454
75,0.044188,0.408234
76,0.035998,0.438483
77,0.030648,0.403946
78,0.030093,0.400279
79,0.029839,0.398498
80,0.029940,0.408206
81,0.030825,0.403605
82,0.032257,0.410399
