epoch,train_loss,val_loss
1,1.001212,1.422951
2,1.000555,1.431434
3,1.000792,1.413520
4,1.000443,1.423796
5,1.000510,1.414984
6,1.000444,1.424418
7,1.000480,1.417885
8,1.000515,1.411497
9,1.000607,1.419537
10,1.000551,1.410169
11,1.000444,1.418597
12,1.000449,1.411656
13,1.000449,1.420675
14,1.000436,1.415319
15,1.000400,1.419387
16,1.000425,1.415671
17,1.000452,1.420346
18,1.000407,1.410127
19,1.000403,1.409679
20,1.000492,1.423649
21,1.000423,1.413814
22,1.000399,1.411151
23,1.000352,1.415840
24,1.000362,1.410865
25,1.000432,1.416532
26,1.000363,1.413296
27,1.000363,1.404823
28,1.000391,1.412835
29,1.000386,1.411627
30,1.000427,1.416188
31,1.000436,1.415524
32,1.000335,1.407218
33,1.000384,1.410341
34,1.000395,1.414806
35,1.000341,1.410090
36,1.000371,1.407754
37,1.000409,1.411319
38,1.000410,1.410055
39,1.000364,1.409930
40,1.000362,1.409109
41,1.000353,1.409986
42,1.000351,1.415138
43,1.000358,1.414195
44,1.000343,1.410003
45,1.000355,1.409231
46,1.000345,1.411129
47,1.000373,1.409767
48,1.000352,1.409105
49,1.000385,1.409970
50,1.000355,1.412025
51,1.000356,1.413127
52,1.000357,1.409023
53,1.000347,1.411351
54,1.000382,1.412365
55,1.000347,1.409722
56,1.000349,1.410455
57,1.000357,1.408752
58,1.000376,1.413411
59,1.000340,1.410452
60,1.000359,1.407085
61,1.000368,1.411476
62,1.000349,1.410555
63,1.000353,1.409011
64,1.000346,1.408216
65,1.000345,1.410690
66,1.000361,1.412074
67,1.000347,1.411458
68,1.000355,1.406561
69,1.000346,1.409010
70,1.000336,1.410878
71,1.000365,1.410240
72,1.000351,1.409618
73,1.000359,1.409425
74,1.000341,1.409892
75,1.000369,1.407257
76,1.000358,1.408798
77,1.000369,1.411444
78,1.000354,1.411279
79,1.000336,1.410400
80,1.000391,1.411374
81,1.000339,1.410581
82,1.000365,1.410378
83,1.000375,1.407244
84,1.000388,1.411016
85,1.000346,1.410736
86,1.000356,1.411183
87,1.000361,1.409435
88,1.000361,1.410571
89,1.000339,1.411180
90,1.000356,1.411693
91,1.000355,1.410357
92,1.000344,1.412478
93,1.000344,1.411271
94,1.000359,1.409802
95,1.000353,1.413002
96,1.000358,1.414209
97,1.000347,1.410726
98,1.000365,1.413855
99,1.000366,1.409401
100,1.000546,1.414491
