epoch,train_loss,val_loss
1,0.373838,0.457635
2,0.234876,0.714760
3,0.195734,0.497508
4,0.170020,0.638588
5,0.166963,0.489553
6,0.151679,0.495817
7,0.124262,0.367860
8,0.113740,0.361021
9,0.139963,0.509410
10,0.115863,0.396742
11,0.111519,0.498186
12,0.122619,0.413202
13,0.113986,0.381422
14,0.091106,0.389710
15,0.114668,0.416073
16,0.102379,0.427835
17,0.086011,0.435325
18,0.073073,0.415643
19,0.065348,0.440778
20,0.075851,0.414658
21,0.068314,0.452521
22,0.059475,0.442711
23,0.067286,0.404620
24,0.090848,0.739297
25,0.082175,0.772499
26,0.078177,0.565239
27,0.066065,0.634897
28,0.059828,0.757824
29,0.076813,0.394589
30,0.058719,0.433184
31,0.053453,0.473828
32,0.048757,0.413086
33,0.053457,0.410512
34,0.107198,1.079927
35,0.157229,0.710631
36,0.130356,0.379252
37,0.088026,0.485452
38,0.073549,0.474575
39,0.071815,0.531175
40,0.108938,0.545662
41,0.095077,0.430638
42,0.087128,0.376760
43,0.074974,0.394962
44,0.059020,0.379957
45,0.068453,0.376980
46,0.056006,0.381935
47,0.046134,0.399732
48,0.084601,0.397099
49,0.071538,0.394755
50,0.061943,0.424302
51,0.052428,0.445194
52,0.056170,0.459601
53,0.046145,0.453429
54,0.044423,0.438912
55,0.055379,0.478776
56,0.068038,0.445126
57,0.066151,0.390042
58,0.051696,0.432169
59,0.054456,0.445712
60,0.053229,0.416429
61,0.060345,0.373812
62,0.056750,0.437907
63,0.041284,0.466925
64,0.042468,0.485129
65,0.033479,0.466189
66,0.034429,0.433539
67,0.039931,0.418817
68,0.039715,0.442122
69,0.032702,0.419467
70,0.034951,0.455263
71,0.039269,0.451332
72,0.031082,0.463495
73,0.035534,0.432949
74,0.031658,0.437591
75,0.028685,0.429340
76,0.030260,0.446438
77,0.032308,0.464781
78,0.029093,0.463680
79,0.031439,0.431046
80,0.032092,0.448975
