epoch,train_loss,val_loss
1,1.000147,1.420393
2,0.999737,1.393739
3,0.999758,1.422313
4,0.999762,1.409523
5,0.999692,1.414271
6,0.999771,1.396691
7,0.999670,1.408890
8,0.999629,1.416156
9,0.999715,1.409440
10,0.999679,1.401250
11,0.999602,1.411449
12,0.999638,1.396139
13,0.999513,1.414110
14,0.999594,1.415163
15,0.999626,1.398960
16,0.999583,1.412723
17,0.999626,1.402959
18,0.999636,1.407582
19,0.999562,1.401931
20,0.999536,1.417480
21,0.999627,1.413756
22,0.999547,1.411431
23,0.999552,1.410722
24,0.999536,1.409237
25,0.999580,1.411527
26,0.999606,1.408544
27,0.999566,1.406634
28,0.999565,1.408459
29,0.999563,1.412894
30,0.999524,1.409900
31,0.999515,1.402609
32,0.999605,1.406213
33,0.999682,1.416596
34,0.999572,1.402442
35,0.999515,1.409692
36,0.999626,1.411299
37,0.999689,1.408318
38,0.999583,1.410217
39,0.999512,1.415137
40,0.999594,1.407338
41,0.999558,1.409251
42,0.999520,1.410485
43,0.999525,1.405748
44,0.999519,1.406401
45,0.999502,1.407438
46,0.999506,1.409291
47,0.999535,1.408639
48,0.999513,1.408504
49,0.999515,1.405045
50,0.999554,1.413041
51,0.999531,1.407599
52,0.999536,1.408839
53,0.999509,1.408193
54,0.999518,1.411166
55,0.999556,1.407175
56,0.999523,1.409082
57,0.999516,1.410551
58,0.999656,1.415379
59,0.999596,1.407102
60,0.999546,1.407381
61,0.999510,1.407358
62,0.999573,1.411652
63,0.999620,1.406105
64,0.999537,1.411690
65,0.999533,1.410379
66,0.999542,1.407765
67,0.999540,1.409444
68,0.999578,1.408887
69,0.999516,1.408780
70,0.999493,1.410804
71,0.999487,1.408411
72,0.999529,1.407326
73,0.999546,1.412932
74,0.999508,1.406630
75,0.999507,1.407056
76,0.999492,1.407470
77,0.999517,1.408313
78,0.999527,1.413747
79,0.999506,1.410304
80,0.999598,1.406536
81,0.999570,1.409069
82,0.999494,1.406518
83,0.999511,1.408861
84,0.999571,1.404357
