epoch,train_loss,val_loss
1,0.384465,0.537108
2,0.226877,0.645969
3,0.185565,0.595340
4,0.159880,0.516319
5,0.148848,0.527647
6,0.161271,0.559798
7,0.125006,0.438849
8,0.116463,0.429820
9,0.115202,0.469964
10,0.099858,0.488271
11,0.102303,0.435379
12,0.104449,0.382012
13,0.102916,0.383142
14,0.087791,0.497062
15,0.081122,0.431937
16,0.084415,0.457548
17,0.086771,0.453161
18,0.092986,0.447487
19,0.095599,0.478650
20,0.085229,0.456840
21,0.064065,0.442769
22,0.069734,0.402241
23,0.076807,0.394263
24,0.066833,0.475205
25,0.066363,0.369729
26,0.056370,0.395306
27,0.056746,0.462329
28,0.055130,0.543628
29,0.083569,0.424782
30,0.060542,0.529566
31,0.058313,0.444152
32,0.049827,0.425262
33,0.049827,0.465944
34,0.049390,0.413242
35,0.048140,0.410145
36,0.045341,0.429606
37,0.042217,0.440959
38,0.044003,0.472143
39,0.052256,0.492251
40,0.047657,0.431208
41,0.039440,0.475845
42,0.038578,0.442173
43,0.041329,0.475090
44,0.070334,0.449582
45,0.058197,0.474568
46,0.076339,0.594162
47,0.065532,0.673695
48,0.052482,0.532685
49,0.048012,0.590986
50,0.128113,0.520397
51,0.072663,0.442789
52,0.055713,0.485953
53,0.052688,0.418731
54,0.061116,0.458304
55,0.052011,0.499299
56,0.057172,0.487476
57,0.055565,0.438615
58,0.050787,0.498235
59,0.042848,0.526339
60,0.041437,0.499982
61,0.038759,0.455546
62,0.041902,0.581033
63,0.038221,0.524545
64,0.037268,0.499712
65,0.035639,0.487140
66,0.044892,0.519551
67,0.065317,0.559970
68,0.041732,0.470859
69,0.036068,0.492426
70,0.036023,0.562011
71,0.034472,0.576378
72,0.033431,0.581814
73,0.035188,0.535930
74,0.035747,0.514886
75,0.039349,0.461939
76,0.036484,0.468271
77,0.035870,0.531281
78,0.034654,0.564738
79,0.036523,0.599332
80,0.034712,0.520874
