epoch,train_loss,val_loss
1,1.006357,1.414819
2,1.005558,1.450368
3,1.005686,1.400683
4,1.005407,1.446302
5,1.005768,1.437326
6,1.005581,1.423753
7,1.005593,1.429863
8,1.005495,1.433046
9,1.005464,1.420393
10,1.005550,1.428023
11,1.005536,1.423770
12,1.005629,1.416122
13,1.005437,1.422707
14,1.005602,1.430975
15,1.005436,1.418336
16,1.005418,1.423452
17,1.005485,1.425258
18,1.005484,1.429374
19,1.005408,1.424162
20,1.005471,1.415431
21,1.005421,1.418935
22,1.005470,1.427345
23,1.005439,1.429013
24,1.005499,1.426883
25,1.005534,1.420058
26,1.005542,1.422387
27,1.005405,1.421157
28,1.005423,1.430391
29,1.005360,1.415122
30,1.005478,1.425155
31,1.005385,1.423233
32,1.005373,1.422134
33,1.005427,1.424149
34,1.005382,1.429055
35,1.005395,1.422489
36,1.005410,1.422755
37,1.005425,1.426498
38,1.005415,1.429073
39,1.005433,1.422154
40,1.005391,1.429565
41,1.005377,1.427886
42,1.005415,1.420071
43,1.005402,1.412666
44,1.005466,1.422079
45,1.005507,1.419908
46,1.005476,1.428207
47,1.005451,1.420021
48,1.005382,1.427474
49,1.005337,1.424043
50,1.005346,1.422364
51,1.005388,1.422207
52,1.005365,1.422900
53,1.005443,1.426623
54,1.005409,1.426340
55,1.005398,1.426440
56,1.005411,1.419210
57,1.005369,1.423227
58,1.005391,1.417464
59,1.005420,1.423539
60,1.005403,1.426712
61,1.005365,1.424346
62,1.005415,1.418724
63,1.005364,1.420838
64,1.005357,1.422389
65,1.005352,1.430826
66,1.005420,1.427687
67,1.005357,1.424497
68,1.005390,1.425644
69,1.005390,1.419273
70,1.005393,1.427929
71,1.005383,1.425627
72,1.005374,1.422682
73,1.005424,1.425039
74,1.005417,1.419419
75,1.005324,1.426877
76,1.005335,1.425557
77,1.005352,1.417530
78,1.005339,1.426818
79,1.005389,1.426020
80,1.005355,1.421929
81,1.005348,1.425620
82,1.005351,1.427274
83,1.005369,1.421519
84,1.005361,1.420250
85,1.005361,1.421863
86,1.005351,1.422031
87,1.005347,1.421114
88,1.005384,1.423569
89,1.005359,1.421624
90,1.005359,1.430599
91,1.005358,1.423278
92,1.005444,1.421715
93,1.005370,1.419190
