epoch,train_loss,val_loss
1,1.001141,1.414946
2,1.000892,1.425497
3,1.000796,1.420227
4,1.000724,1.413472
5,1.000719,1.417555
6,1.000648,1.408760
7,1.000662,1.413067
8,1.000679,1.410774
9,1.000736,1.414309
10,1.000661,1.412487
11,1.000681,1.410467
12,1.000672,1.414482
13,1.000668,1.412943
14,1.000685,1.409735
15,1.000720,1.415579
16,1.000701,1.412782
17,1.000681,1.415443
18,1.000711,1.415526
19,1.000700,1.411413
20,1.000666,1.410931
21,1.000681,1.412062
22,1.000662,1.410215
23,1.000664,1.410845
24,1.000665,1.411057
25,1.000652,1.414080
26,1.000702,1.415368
27,1.000704,1.410015
28,1.000666,1.412823
29,1.000670,1.412950
30,1.000763,1.410623
31,1.000724,1.408505
32,1.000780,1.408352
33,1.000685,1.408821
34,1.000712,1.410578
35,1.000675,1.407693
36,1.000719,1.412403
37,1.000658,1.409638
38,1.000704,1.407227
39,1.000684,1.413794
40,1.000675,1.414244
41,1.000696,1.408195
42,1.000695,1.417222
43,1.000701,1.411116
44,1.000713,1.416906
45,1.000704,1.407908
46,1.000662,1.414652
47,1.000712,1.404939
48,1.000654,1.414198
49,1.000683,1.417548
50,1.000673,1.410246
51,1.000694,1.410745
52,1.000700,1.409552
53,1.000661,1.410974
54,1.000679,1.410299
55,1.000685,1.411907
56,1.000721,1.408327
57,1.000770,1.415294
58,1.000691,1.415302
59,1.000661,1.409709
60,1.000699,1.411429
61,1.000899,1.409745
62,1.000667,1.410695
63,1.000680,1.407560
64,1.000692,1.411851
65,1.000695,1.416948
66,1.000691,1.412594
67,1.000662,1.412344
68,1.000675,1.412625
69,1.000689,1.411943
70,1.000712,1.415571
71,1.000673,1.409377
72,1.000704,1.411018
73,1.000687,1.408561
74,1.000669,1.412565
75,1.000678,1.413072
76,1.000680,1.414835
77,1.000695,1.420496
78,1.000722,1.414021
79,1.000773,1.412732
80,1.000674,1.411627
81,1.000720,1.410361
82,1.000725,1.407092
83,1.000699,1.415901
84,1.000726,1.413664
85,1.000678,1.412792
86,1.000683,1.415299
87,1.000822,1.413620
88,1.000852,1.411251
89,1.000700,1.414852
90,1.000686,1.413612
91,1.000703,1.408754
92,1.000693,1.408180
93,1.000697,1.411789
94,1.000698,1.412065
95,1.000659,1.415880
96,1.000672,1.413396
97,1.000691,1.406668
