epoch,train_loss,val_loss
1,0.533805,0.516321
2,0.125493,0.294974
3,0.070362,0.217693
4,0.045531,0.239158
5,0.037205,0.266550
6,0.034207,0.278124
7,0.032138,0.285896
8,0.030185,0.277315
9,0.027786,0.282837
10,0.027169,0.289578
11,0.026070,0.276989
12,0.024475,0.294096
13,0.025803,0.292567
14,0.025230,0.268915
15,0.024065,0.291101
16,0.025011,0.277657
17,0.022862,0.287467
18,0.022060,0.282696
19,0.021535,0.291166
20,0.022376,0.291280
21,0.022853,0.287083
22,0.021402,0.284419
23,0.021343,0.296662
24,0.022032,0.287743
25,0.020474,0.284418
26,0.023001,0.279098
27,0.026024,0.302595
28,0.025877,0.342648
29,0.026794,0.293645
30,0.020489,0.305773
31,0.020818,0.301190
32,0.019806,0.301043
33,0.021140,0.288143
34,0.020639,0.299857
35,0.020117,0.290901
36,0.021141,0.300525
37,0.019572,0.296564
38,0.019685,0.290428
39,0.020409,0.300183
40,0.019466,0.292800
41,0.019045,0.292995
42,0.019517,0.290106
43,0.019927,0.291332
44,0.019811,0.302009
45,0.018639,0.292878
46,0.019288,0.300727
47,0.018995,0.297629
48,0.019562,0.306622
49,0.019562,0.296224
50,0.018627,0.301353
51,0.018983,0.296934
52,0.018840,0.297808
53,0.018335,0.300048
54,0.019042,0.297064
55,0.019135,0.300402
56,0.021430,0.299680
57,0.018609,0.298571
58,0.018874,0.299442
59,0.018922,0.305517
60,0.018921,0.295805
61,0.018869,0.297297
62,0.020343,0.296713
63,0.029261,0.280917
64,0.023216,0.288658
65,0.021611,0.292117
66,0.021014,0.295002
67,0.021848,0.297436
68,0.020524,0.296068
69,0.020253,0.296914
70,0.019247,0.298255
71,0.019088,0.298172
72,0.018025,0.299827
73,0.021686,0.300140
74,0.018999,0.298364
75,0.018579,0.305504
76,0.018466,0.307026
77,0.017985,0.302894
78,0.019630,0.299664
79,0.020309,0.302999
80,0.019392,0.306022
