epoch,train_loss,val_loss
1,0.399214,0.297759
2,0.099783,0.216600
3,0.052112,0.229307
4,0.046076,0.273054
5,0.041291,0.228606
6,0.037105,0.239145
7,0.035078,0.238671
8,0.039446,0.238056
9,0.032593,0.264102
10,0.037157,0.286622
11,0.033801,0.248699
12,0.030903,0.251617
13,0.030051,0.258176
14,0.032514,0.258039
15,0.031030,0.269841
16,0.032372,0.250383
17,0.030281,0.260606
18,0.029165,0.275822
19,0.029017,0.277877
20,0.027288,0.271195
21,0.033889,0.284286
22,0.025123,0.281630
23,0.023978,0.287651
24,0.032656,0.288955
25,0.023467,0.295396
26,0.024613,0.320979
27,0.024582,0.321527
28,0.026080,0.321393
29,0.024593,0.343764
30,0.029267,0.305741
31,0.022765,0.328663
32,0.022737,0.349617
33,0.025823,0.357308
34,0.022773,0.344204
35,0.025795,0.338152
36,0.027650,0.311622
37,0.027744,0.338090
38,0.024915,0.373449
39,0.023327,0.404454
40,0.022797,0.393157
41,0.024917,0.418890
42,0.034232,0.375937
43,0.025190,0.427170
44,0.027075,0.419894
45,0.022708,0.388667
46,0.023013,0.399939
47,0.021478,0.447313
48,0.020986,0.374214
49,0.021254,0.399129
50,0.024935,0.403913
51,0.021254,0.413272
52,0.021834,0.424717
53,0.022741,0.396330
54,0.021235,0.396580
55,0.023210,0.385389
56,0.021330,0.376298
57,0.022005,0.392633
58,0.022912,0.380079
59,0.022190,0.377327
60,0.023809,0.364626
61,0.021116,0.387388
62,0.020819,0.376252
63,0.022007,0.423819
64,0.023880,0.394172
65,0.022366,0.389354
66,0.022557,0.409264
67,0.024262,0.369936
68,0.020591,0.369247
69,0.023149,0.383282
70,0.023856,0.362812
71,0.021123,0.359812
72,0.021453,0.372558
73,0.021949,0.372181
74,0.020562,0.362399
75,0.020821,0.356212
76,0.022959,0.361765
77,0.022670,0.365548
78,0.021476,0.370676
79,0.022265,0.387235
80,0.021031,0.389678
