epoch,train_loss,val_loss
1,0.305069,0.397893
2,0.081497,0.236109
3,0.050348,0.186095
4,0.039505,0.220648
5,0.035784,0.303364
6,0.032362,0.316616
7,0.040522,0.369955
8,0.030564,0.293494
9,0.028492,0.809572
10,0.030106,0.347421
11,0.028627,0.439644
12,0.028305,0.366751
13,0.030207,0.367248
14,0.026447,0.396158
15,0.024443,0.414085
16,0.025249,0.411298
17,0.026185,0.408439
18,0.027329,0.426397
19,0.025363,0.453201
20,0.027801,0.397403
21,0.026530,0.424195
22,0.024592,0.412811
23,0.022845,0.447393
24,0.023290,0.457383
25,0.022760,0.400238
26,0.022225,0.415230
27,0.022206,0.431568
28,0.021444,0.441812
29,0.022538,0.406430
30,0.021547,0.415882
31,0.023251,0.418943
32,0.023070,0.464148
33,0.021091,0.423412
34,0.020108,0.411799
35,0.020818,0.409638
36,0.021025,0.378183
37,0.022174,0.438745
38,0.020555,0.424025
39,0.022599,0.476642
40,0.025766,0.475821
41,0.022297,0.416296
42,0.020631,0.409150
43,0.023072,0.397763
44,0.020684,0.404583
45,0.020307,0.403555
46,0.022811,0.392721
47,0.021189,0.378400
48,0.020028,0.370645
49,0.020761,0.382361
50,0.019237,0.398697
51,0.021180,0.388662
52,0.020097,0.382778
53,0.022379,0.396214
54,0.020263,0.404686
55,0.019165,0.400278
56,0.020651,0.407312
57,0.020350,0.388874
58,0.019480,0.390754
59,0.019164,0.385453
60,0.019824,0.398812
61,0.020419,0.379914
62,0.024669,0.397245
63,0.020579,0.405869
64,0.019851,0.418891
65,0.020613,0.403340
66,0.019606,0.443589
67,0.025916,0.415007
68,0.019915,0.418152
69,0.019978,0.410520
70,0.019148,0.413110
71,0.018940,0.422997
72,0.018455,0.429936
73,0.019208,0.397229
74,0.055773,0.339718
75,0.030609,0.387495
76,0.026704,0.381840
77,0.026331,0.375681
78,0.022540,0.385350
79,0.023721,0.412731
80,0.023171,0.373236
