epoch,train_loss,val_loss
1,1.005114,0.348937
2,1.005139,0.359768
3,1.005616,0.339019
4,1.005363,0.355821
5,1.004881,0.340497
6,1.005399,0.337064
7,1.005154,0.346877
8,1.004921,0.342852
9,1.005020,0.346283
10,1.004920,0.346042
11,1.004967,0.343167
12,1.005123,0.344458
13,1.004931,0.341939
14,1.005168,0.345847
15,1.005011,0.341531
16,1.004896,0.345460
17,1.004886,0.348123
18,1.004907,0.345842
19,1.005001,0.342352
20,1.004950,0.346795
21,1.004877,0.344007
22,1.004873,0.345289
23,1.004970,0.345101
24,1.004920,0.345157
25,1.004861,0.345851
26,1.004860,0.345047
27,1.004890,0.344983
28,1.004876,0.345688
29,1.005050,0.344336
30,1.004902,0.344312
31,1.004875,0.345960
32,1.004885,0.345361
33,1.004861,0.346455
34,1.004847,0.346147
35,1.004866,0.345178
36,1.004879,0.344697
37,1.004867,0.345461
38,1.004851,0.345096
39,1.004855,0.345494
40,1.004851,0.344458
41,1.004853,0.344923
42,1.004869,0.343966
43,1.004871,0.345343
44,1.004855,0.345468
45,1.004867,0.345338
46,1.004839,0.345119
47,1.004861,0.344605
48,1.004844,0.344713
49,1.004899,0.344498
50,1.004848,0.344975
