epoch,train_loss,val_loss
1,1.006500,0.367703
2,1.006561,0.354240
3,1.006725,0.341117
4,1.006131,0.329331
5,1.006611,0.345655
6,1.006697,0.344398
7,1.006292,0.342570
8,1.006217,0.337587
9,1.006560,0.354050
10,1.006219,0.344572
11,1.006200,0.338690
12,1.006326,0.344652
13,1.006152,0.344912
14,1.006307,0.337615
15,1.006277,0.344812
16,1.006316,0.349421
17,1.006274,0.349130
18,1.006060,0.343434
19,1.006443,0.348722
20,1.006223,0.347318
21,1.006082,0.342974
22,1.006102,0.341065
23,1.006139,0.341697
24,1.006099,0.344956
25,1.006095,0.344448
26,1.006126,0.344304
27,1.006078,0.345125
28,1.006189,0.346174
29,1.006138,0.344462
30,1.006116,0.347176
31,1.006046,0.341233
32,1.006282,0.345977
33,1.006134,0.342692
34,1.006192,0.346093
35,1.006128,0.344619
36,1.006193,0.343299
37,1.006241,0.347650
38,1.006110,0.341780
39,1.006150,0.342656
40,1.006222,0.345258
41,1.006158,0.345512
42,1.006108,0.343304
43,1.006169,0.345751
44,1.006101,0.341618
45,1.006166,0.343618
46,1.006122,0.345416
47,1.006262,0.343662
48,1.006265,0.339353
49,1.006003,0.348203
50,1.006186,0.346619
