epoch,train_loss,val_loss
1,0.321869,0.407944
2,0.079708,0.225384
3,0.048245,0.220102
4,0.044154,0.248107
5,0.038077,0.251729
6,0.044091,0.266612
7,0.031960,0.275734
8,0.030185,0.286768
9,0.029063,0.277880
10,0.026766,0.283732
11,0.027927,0.281581
12,0.027299,0.287544
13,0.026754,0.276913
14,0.026746,0.289715
15,0.026094,0.288244
16,0.026529,0.290447
17,0.026922,0.287232
18,0.029263,0.291250
19,0.024902,0.289546
20,0.025596,0.300953
21,0.024569,0.310295
22,0.024061,0.326127
23,0.022320,0.300146
24,0.023534,0.312530
25,0.022331,0.300765
26,0.021940,0.313056
27,0.023711,0.318081
28,0.021262,0.316707
29,0.024338,0.321415
30,0.023209,0.317564
31,0.022465,0.325425
32,0.023225,0.317517
33,0.022390,0.334972
34,0.023240,0.322674
35,0.022203,0.327869
36,0.021664,0.334788
37,0.022612,0.324483
38,0.023076,0.334915
39,0.022826,0.350748
40,0.027089,0.327606
41,0.022177,0.353130
42,0.022367,0.339891
43,0.022980,0.328130
44,0.020925,0.340381
45,0.020919,0.334187
46,0.021220,0.343469
47,0.023080,0.349296
48,0.020639,0.365601
49,0.020648,0.344000
50,0.019251,0.344519
51,0.019984,0.345406
52,0.021827,0.336525
53,0.021368,0.346627
54,0.020053,0.337110
55,0.019135,0.339780
56,0.019562,0.345268
57,0.022226,0.354774
58,0.019761,0.362830
59,0.020469,0.365200
60,0.019842,0.384320
61,0.019799,0.356845
62,0.029091,0.333306
63,0.033178,0.338238
64,0.026830,0.329835
65,0.024290,0.341032
66,0.024237,0.377331
67,0.021374,0.342441
68,0.021705,0.383787
69,0.022947,0.341694
70,0.019670,0.373327
71,0.020398,0.375321
72,0.020126,0.359423
73,0.019168,0.361694
74,0.019499,0.372077
75,0.020646,0.368302
76,0.019454,0.358582
77,0.020458,0.422480
78,0.022134,0.365552
79,0.019088,0.382157
80,0.018525,0.385760
