epoch,train_loss,val_loss
1,0.455343,0.330971
2,0.130081,0.252515
3,0.086134,0.225265
4,0.061729,0.198461
5,0.044316,0.216824
6,0.039048,0.235867
7,0.039302,0.401080
8,0.038900,0.561510
9,0.038329,0.593106
10,0.031893,1.152072
11,0.038253,2.808079
12,0.054658,0.279399
13,0.030676,0.345245
14,0.029078,0.488899
15,0.033733,0.411654
16,0.030507,0.505060
17,0.027089,0.870174
18,0.028852,0.787335
19,0.026064,0.849108
20,0.029414,1.153770
21,0.031489,1.420220
22,0.039602,0.642533
23,0.029807,0.733037
24,0.028624,0.655830
25,0.025025,0.822245
26,0.024434,1.016761
27,0.026737,0.616875
28,0.023174,0.634769
29,0.029595,0.868250
30,0.024642,0.684005
31,0.024463,0.578095
32,0.024683,0.635543
33,0.023930,0.665010
34,0.024103,0.483837
35,0.025685,0.560278
36,0.032579,0.568288
37,0.026962,0.545107
38,0.024020,0.555724
39,0.023245,0.613967
40,0.023190,0.515262
41,0.026739,0.555718
42,0.026481,0.382364
43,0.022734,0.411237
44,0.023376,0.393963
45,0.023065,0.458499
46,0.022099,0.425775
47,0.020748,0.466675
48,0.022040,0.420474
49,0.021276,0.442792
50,0.022198,0.386741
51,0.021200,0.396398
52,0.020720,0.412335
53,0.023793,0.398403
54,0.021133,0.454313
55,0.021867,0.391323
56,0.024622,0.375274
57,0.020603,0.404537
58,0.020567,0.402839
59,0.020132,0.394802
60,0.021959,0.429690
61,0.021994,0.393356
62,0.020636,0.399097
63,0.022011,0.392360
64,0.020872,0.399843
65,0.020333,0.411273
66,0.024212,0.363144
67,0.022467,0.390492
68,0.022955,0.367492
69,0.020120,0.375264
70,0.019492,0.393827
71,0.021521,0.399785
72,0.020027,0.396534
73,0.023222,0.391339
74,0.022017,0.375477
75,0.020188,0.384285
76,0.024636,0.380534
77,0.019320,0.464573
78,0.020325,0.386281
79,0.019078,0.422810
80,0.018626,0.379617
