epoch,train_loss,val_loss
1,0.243051,0.204403
2,0.048964,0.230273
3,0.037827,0.289643
4,0.036161,0.403078
5,0.034414,0.399104
6,0.031078,0.276900
7,0.071088,0.384265
8,0.035915,0.498133
9,0.028812,0.984563
10,0.043678,0.237548
11,0.035520,0.468481
12,0.030769,0.695288
13,0.026657,0.603456
14,0.028253,0.737196
15,0.024965,0.669903
16,0.023069,0.678734
17,0.025914,0.404801
18,0.023244,0.398680
19,0.022415,0.351858
20,0.023247,0.370030
21,0.021905,0.389755
22,0.020829,0.362320
23,0.020248,0.394887
24,0.020603,0.354379
25,0.023770,0.332638
26,0.022847,0.356960
27,0.022844,0.375514
28,0.026853,0.348245
29,0.021534,0.352414
30,0.020324,0.345980
31,0.019197,0.342946
32,0.019848,0.367884
33,0.020531,0.381325
34,0.018746,0.384691
35,0.018786,0.386131
36,0.018744,0.400172
37,0.019252,0.340442
38,0.021688,0.383928
39,0.018311,0.378942
40,0.017877,0.360947
41,0.019416,0.372630
42,0.020874,0.351243
43,0.020711,0.349942
44,0.018070,0.343818
45,0.019128,0.358595
46,0.019916,0.320459
47,0.019066,0.354812
48,0.019958,0.339186
49,0.018194,0.348090
50,0.018305,0.330747
51,0.019819,0.325152
52,0.018197,0.349709
53,0.017429,0.341662
54,0.023953,0.433288
55,0.023247,0.335418
56,0.018886,0.342735
57,0.017743,0.367609
58,0.017330,0.354223
59,0.018043,0.350010
60,0.017836,0.349509
61,0.017538,0.362325
62,0.017320,0.373692
63,0.018672,0.344357
64,0.018532,0.334781
65,0.018245,0.355496
66,0.016942,0.371392
67,0.017417,0.352818
68,0.017618,0.357865
69,0.017504,0.361742
70,0.017032,0.379059
71,0.018245,0.363474
72,0.024250,0.376298
73,0.019140,0.324014
74,0.019059,0.356545
75,0.017345,0.373654
76,0.017346,0.370284
77,0.017230,0.409283
78,0.017030,0.374139
79,0.017509,0.366931
80,0.017258,0.339000
