epoch,train_loss,val_loss
1,1.001641,0.356569
2,1.001925,0.356340
3,1.001318,0.343940
4,1.001226,0.350975
5,1.001364,0.344699
6,1.001218,0.355382
7,1.001570,0.348589
8,1.001210,0.345184
9,1.001293,0.344115
10,1.001338,0.347007
11,1.001201,0.350677
12,1.001233,0.350270
13,1.001262,0.350250
14,1.001181,0.349404
15,1.001311,0.348620
16,1.001401,0.344355
17,1.001265,0.346661
18,1.001125,0.352081
19,1.001234,0.346311
20,1.001266,0.345641
21,1.001127,0.350206
22,1.001209,0.349872
23,1.001132,0.345875
24,1.001388,0.346433
25,1.001303,0.348777
26,1.001214,0.346528
27,1.001110,0.349627
28,1.001213,0.347841
29,1.001178,0.351142
30,1.001147,0.349293
31,1.001130,0.348266
32,1.001200,0.348203
33,1.001412,0.347375
34,1.001200,0.347802
35,1.001214,0.350770
36,1.001125,0.347417
37,1.001365,0.347534
38,1.001245,0.350454
39,1.001173,0.349221
40,1.001113,0.348788
41,1.001121,0.347277
42,1.001189,0.349657
43,1.001106,0.347110
44,1.001164,0.347587
45,1.001179,0.349058
46,1.001148,0.346780
47,1.001141,0.348670
48,1.001103,0.349699
49,1.001109,0.346635
50,1.001190,0.348945
