epoch,train_loss,val_loss
1,1.002093,0.348413
2,1.002033,0.346697
3,1.002062,0.357743
4,1.002372,0.349873
5,1.001804,0.346807
6,1.001911,0.331753
7,1.002230,0.351140
8,1.001882,0.344749
9,1.001761,0.348694
10,1.001991,0.353860
11,1.001742,0.350803
12,1.001862,0.355930
13,1.001943,0.350841
14,1.001713,0.349984
15,1.001806,0.354180
16,1.001736,0.350540
17,1.001693,0.347638
18,1.001735,0.347894
19,1.001704,0.346119
20,1.001705,0.344677
21,1.001810,0.352863
22,1.001755,0.350223
23,1.001702,0.349942
24,1.001723,0.349331
25,1.001653,0.345880
26,1.001663,0.347997
27,1.001673,0.348379
28,1.001608,0.345598
29,1.001887,0.344958
30,1.001676,0.346419
31,1.001746,0.352495
32,1.001746,0.348825
33,1.001618,0.349402
34,1.001634,0.347954
35,1.001680,0.348556
36,1.001700,0.347164
37,1.001678,0.349150
38,1.001615,0.349281
39,1.001627,0.348469
40,1.001667,0.347502
41,1.001712,0.346001
42,1.001673,0.347724
43,1.001646,0.349563
44,1.001715,0.348199
45,1.001673,0.348765
46,1.001644,0.347565
47,1.001634,0.347773
48,1.001725,0.347334
49,1.001626,0.346623
50,1.001648,0.349488
