epoch,train_loss,val_loss
1,0.694332,0.231702
2,0.184546,0.310476
3,0.127743,0.278809
4,0.098368,0.193790
5,0.070447,0.211887
6,0.105100,0.273945
7,0.063022,0.242496
8,0.050026,0.259155
9,0.037634,0.259752
10,0.034483,0.266940
11,0.032468,0.293117
12,0.031099,0.286021
13,0.029593,0.274993
14,0.030602,0.251848
15,0.030296,0.267032
16,0.029115,0.276385
17,0.026910,0.280632
18,0.025925,0.271693
19,0.027360,0.305934
20,0.026364,0.293087
21,0.024845,0.282802
22,0.024069,0.310202
23,0.021845,0.282346
24,0.021465,0.294541
25,0.021135,0.307510
26,0.020677,0.284570
27,0.020324,0.295564
28,0.020562,0.298629
29,0.019998,0.314285
30,0.021283,0.342543
31,0.019954,0.306483
32,0.019932,0.297020
33,0.020762,0.300803
34,0.019533,0.309438
35,0.020189,0.299518
36,0.022130,0.288655
37,0.020070,0.315788
38,0.019370,0.309505
39,0.018583,0.301214
40,0.019167,0.308483
41,0.018431,0.318637
42,0.018911,0.311129
43,0.019749,0.289432
44,0.022567,0.298429
45,0.019301,0.291643
46,0.018859,0.298576
47,0.018641,0.298582
48,0.018084,0.308777
49,0.018296,0.321496
50,0.018564,0.298786
51,0.018322,0.295905
52,0.018073,0.302366
53,0.018757,0.302439
54,0.018317,0.309674
55,0.017852,0.294288
56,0.018114,0.305721
57,0.019153,0.297330
58,0.017724,0.321789
59,0.018314,0.299956
60,0.020877,0.315170
61,0.018253,0.322250
62,0.017881,0.317056
63,0.017840,0.302316
64,0.017524,0.301303
65,0.018134,0.312356
66,0.018270,0.329298
67,0.018423,0.296444
68,0.018003,0.297159
69,0.017202,0.301193
70,0.019350,0.309966
71,0.017769,0.306225
72,0.018841,0.298120
73,0.021864,0.313661
74,0.017878,0.308008
75,0.016712,0.311595
76,0.016477,0.304932
77,0.017097,0.326794
78,0.018169,0.304185
79,0.017679,0.326213
80,0.017481,0.323298
