epoch,train_loss,val_loss
1,0.538237,0.275605
2,0.140634,0.267755
3,0.084823,0.182930
4,0.051114,0.198653
5,0.041601,0.191646
6,0.037904,0.198235
7,0.036898,0.464269
8,0.032040,0.805223
9,0.030853,1.307727
10,0.029282,1.371486
11,0.028954,1.464933
12,0.028083,1.352696
13,0.025914,1.337579
14,0.027672,1.181367
15,0.024896,1.106503
16,0.024772,1.044348
17,0.024727,0.883895
18,0.022990,0.978201
19,0.022985,0.773185
20,0.021987,0.472812
21,0.021833,0.495340
22,0.021885,0.596866
23,0.020962,0.358271
24,0.021121,0.336920
25,0.020180,0.330786
26,0.020567,0.314981
27,0.021099,0.319949
28,0.020017,0.318251
29,0.019422,0.324751
30,0.019269,0.335044
31,0.019879,0.320886
32,0.022120,0.327210
33,0.018780,0.341635
34,0.020086,0.326721
35,0.039639,0.252862
36,0.028192,0.255603
37,0.024868,0.264845
38,0.022290,0.258468
39,0.022055,0.263339
40,0.020282,0.266676
41,0.024692,0.285912
42,0.022484,0.277329
43,0.021792,0.279112
44,0.020624,0.283683
45,0.020377,0.279852
46,0.019948,0.287873
47,0.020988,0.288473
48,0.020763,0.286233
49,0.019563,0.297465
50,0.019692,0.289415
51,0.018536,0.302048
52,0.020163,0.289400
53,0.020457,0.302030
54,0.019648,0.306031
55,0.018631,0.303697
56,0.018503,0.300813
57,0.019221,0.300619
58,0.018916,0.311736
59,0.018683,0.308359
60,0.018269,0.307550
61,0.018710,0.299644
62,0.018102,0.301564
63,0.018719,0.317547
64,0.017800,0.314823
65,0.017858,0.319290
66,0.018375,0.309823
67,0.018452,0.319814
68,0.017990,0.305350
69,0.018458,0.316364
70,0.019085,0.320003
71,0.018869,0.312562
72,0.017987,0.311678
73,0.021197,0.329427
74,0.020524,0.305417
75,0.018733,0.309087
76,0.017894,0.308014
77,0.018577,0.314970
78,0.019121,0.308718
79,0.018146,0.314287
80,0.017292,0.309701
