epoch,train_loss,val_loss
1,0.438711,0.284207
2,0.124838,0.235948
3,0.073920,0.199464
4,0.051182,0.219118
5,0.037841,0.216182
6,0.032612,0.222670
7,0.030215,0.439914
8,0.029689,0.562732
9,0.027842,0.466878
10,0.026175,0.899478
11,0.026859,0.859871
12,0.024155,0.831614
13,0.024434,0.690586
14,0.023781,0.800799
15,0.022862,0.505416
16,0.023470,0.408035
17,0.024175,0.368466
18,0.021523,0.476638
19,0.020341,0.479577
20,0.020281,0.488325
21,0.029138,0.462791
22,0.027361,0.449081
23,0.024726,0.572059
24,0.022312,0.481567
25,0.019299,0.523468
26,0.018936,0.556278
27,0.018691,0.548326
28,0.019617,0.517095
29,0.021039,0.547924
30,0.018895,0.568102
31,0.018986,0.521737
32,0.018161,0.584505
33,0.018976,0.528133
34,0.019109,0.541464
35,0.019000,0.478038
36,0.020070,0.374087
37,0.018196,0.428208
38,0.018904,0.396699
39,0.019589,0.400154
40,0.018042,0.410351
41,0.018517,0.416492
42,0.019180,0.438793
43,0.017841,0.452199
44,0.017755,0.493705
45,0.018990,0.466320
46,0.019469,0.470425
47,0.018369,0.428090
48,0.017768,0.440454
49,0.017400,0.413244
50,0.017666,0.491065
51,0.017182,0.476290
52,0.017439,0.490266
53,0.017436,0.499386
54,0.016755,0.497260
55,0.017669,0.506103
56,0.017765,0.470793
57,0.016949,0.489063
58,0.017956,0.511915
59,0.017654,0.455328
60,0.017368,0.425198
61,0.018576,0.453900
62,0.019007,0.399635
63,0.017372,0.441070
64,0.016518,0.416562
65,0.016463,0.442517
66,0.017568,0.438810
67,0.017444,0.444092
68,0.016901,0.434909
69,0.017127,0.420008
70,0.016587,0.480718
71,0.018039,0.441674
72,0.016895,0.440533
73,0.016878,0.454767
74,0.016911,0.452146
75,0.017167,0.479829
76,0.016968,0.454996
77,0.016451,0.481624
78,0.016749,0.481376
79,0.017369,0.440139
80,0.017582,0.472835
