epoch,train_loss,val_loss
1,0.484951,0.390708
2,0.142258,0.279514
3,0.100563,0.207960
4,0.073489,0.224790
5,0.064835,0.224905
6,0.050865,0.238500
7,0.049197,0.308653
8,0.048169,0.310965
9,0.045208,0.296942
10,0.046000,0.306657
11,0.046112,0.269416
12,0.041805,0.274666
13,0.045482,0.293934
14,0.039399,0.320513
15,0.044644,0.374306
16,0.041071,0.376259
17,0.039754,0.336636
18,0.038813,0.349071
19,0.037735,0.304828
20,0.036988,0.324117
21,0.039634,0.342833
22,0.036117,0.330703
23,0.035631,0.320122
24,0.035950,0.345938
25,0.033318,0.345630
26,0.034170,0.345816
27,0.033806,0.285558
28,0.035232,0.328383
29,0.033120,0.368677
30,0.035658,0.307482
31,0.034256,0.344663
32,0.031510,0.335554
33,0.032689,0.313880
34,0.033090,0.316849
35,0.032901,0.318690
36,0.032838,0.346681
37,0.032108,0.318561
38,0.037541,0.284291
39,0.033791,0.323512
40,0.031675,0.294532
41,0.033048,0.285998
42,0.031604,0.325645
43,0.035153,0.291378
44,0.031883,0.277529
45,0.036204,0.248117
46,0.035017,0.268416
47,0.031650,0.268975
48,0.034374,0.263716
49,0.031749,0.278959
50,0.029883,0.284174
51,0.031164,0.274288
52,0.033558,0.270609
53,0.030917,0.278253
54,0.032783,0.297410
55,0.033262,0.269815
56,0.031716,0.263487
57,0.032666,0.278806
58,0.030588,0.283926
59,0.030353,0.272357
60,0.030948,0.277568
61,0.031585,0.273794
62,0.032578,0.272187
63,0.031630,0.280813
64,0.030204,0.264218
65,0.030664,0.282452
66,0.031584,0.274491
67,0.029084,0.280495
68,0.031740,0.276473
69,0.046533,0.213403
70,0.034251,0.243597
71,0.031373,0.260287
72,0.031038,0.265997
73,0.031301,0.270148
74,0.030360,0.290327
75,0.030356,0.292074
76,0.031844,0.282631
77,0.030461,0.285375
78,0.029959,0.281677
79,0.030089,0.289413
80,0.032829,0.284273
