epoch,train_loss,val_loss
1,0.236846,0.250853
2,0.058880,0.238082
3,0.042954,0.273311
4,0.035875,0.245473
5,0.030293,0.264658
6,0.026805,0.279197
7,0.027313,0.273461
8,0.025059,0.304948
9,0.025178,0.278998
10,0.022311,0.297273
11,0.030239,0.282199
12,0.025347,0.288211
13,0.022728,0.286648
14,0.028075,0.277980
15,0.024113,0.290579
16,0.021854,0.303704
17,0.022980,0.292879
18,0.023677,0.298651
19,0.021507,0.317431
20,0.019498,0.323297
21,0.019424,0.325075
22,0.020927,0.290271
23,0.021992,0.299976
24,0.019791,0.327696
25,0.019876,0.330588
26,0.020106,0.315923
27,0.020290,0.323309
28,0.019877,0.335114
29,0.019917,0.316302
30,0.019246,0.317052
31,0.018329,0.337314
32,0.018866,0.348311
33,0.019725,0.340303
34,0.020185,0.333640
35,0.019628,0.313043
36,0.018119,0.328033
37,0.018658,0.312725
38,0.017872,0.320845
39,0.018643,0.339296
40,0.018600,0.346810
41,0.021183,0.328040
42,0.018434,0.337838
43,0.017924,0.325326
44,0.018636,0.344734
45,0.018324,0.337669
46,0.017517,0.326555
47,0.018047,0.338610
48,0.017488,0.329423
49,0.017274,0.371469
50,0.017615,0.396982
51,0.018075,0.333352
52,0.017482,0.336066
53,0.017566,0.362952
54,0.017531,0.320845
55,0.018115,0.338021
56,0.017359,0.357829
57,0.017804,0.335784
58,0.018709,0.343568
59,0.017440,0.361318
60,0.017437,0.341562
61,0.017242,0.341510
62,0.016821,0.368181
63,0.017902,0.350451
64,0.017323,0.347926
65,0.017052,0.345120
66,0.017124,0.353285
67,0.017209,0.358954
68,0.017719,0.343016
69,0.016925,0.352780
70,0.016828,0.376346
71,0.016958,0.351931
72,0.016832,0.352990
73,0.016846,0.356780
74,0.016561,0.369757
75,0.017178,0.343082
76,0.016609,0.356593
77,0.016559,0.365310
78,0.016645,0.353300
79,0.016933,0.346936
80,0.017978,0.339158
