epoch,train_loss,val_loss
1,0.442108,0.343188
2,0.118542,0.256396
3,0.087356,0.252384
4,0.085511,0.272983
5,0.072853,0.271000
6,0.090885,0.248289
7,0.072337,0.240881
8,0.065102,0.290506
9,0.081578,0.261533
10,0.069025,0.284191
11,0.070807,0.263178
12,0.064839,0.325019
13,0.071005,0.301630
14,0.097550,0.930504
15,0.070390,0.387861
16,0.065293,0.248069
17,0.065793,0.251427
18,0.075888,0.245532
19,0.066534,0.266292
20,0.071447,0.242278
21,0.060455,0.270558
22,0.058370,0.252949
23,0.059443,0.272892
24,0.056128,0.279044
25,0.062361,0.250513
26,0.056940,0.292037
27,0.058766,0.382593
28,0.060390,0.279744
29,0.055476,0.290636
30,0.057402,0.369065
31,0.060774,0.265767
32,0.058994,0.280595
33,0.062327,0.492677
34,0.063835,0.352324
35,0.059523,0.245142
36,0.056410,0.301326
37,0.057152,0.254081
38,0.058503,0.243132
39,0.052957,0.241420
40,0.053530,0.261665
41,0.053966,0.242691
42,0.056543,0.243264
43,0.060878,0.259133
44,0.064551,0.259187
45,0.064293,0.248070
46,0.062576,0.223728
47,0.057042,0.218748
48,0.053481,0.226489
49,0.105482,0.308464
50,0.081092,0.225961
51,0.064985,0.245508
52,0.065434,0.259535
53,0.064412,0.256530
54,0.053228,0.234133
55,0.083049,0.242461
56,0.076845,0.240494
57,0.068104,0.252796
58,0.064675,0.272796
59,0.062274,0.289828
60,0.070981,0.259014
61,0.060885,0.248657
62,0.052183,0.232917
63,0.064670,0.241759
64,0.082585,0.250904
65,0.055694,0.245637
66,0.140081,0.237341
67,0.145530,0.441964
68,0.067288,0.309551
69,0.085511,0.479905
70,0.075703,0.240609
71,0.043712,0.251951
72,0.046333,0.297035
73,0.041363,0.270685
74,0.046589,0.269263
75,0.042649,0.281651
76,0.040243,0.291561
77,0.040994,0.488138
78,0.036368,0.343301
79,0.036919,0.259627
80,0.041084,0.293828
81,0.038725,0.264013
82,0.036975,0.315002
83,0.033901,0.298478
84,0.033698,0.277558
85,0.033983,0.292935
86,0.053610,0.285320
87,0.034834,0.265846
88,0.030621,0.266022
89,0.032323,0.295695
90,0.033386,0.284873
91,0.030783,0.274591
92,0.029779,0.286766
93,0.033005,0.312485
94,0.036099,0.281315
95,0.027747,0.305974
96,0.030296,0.292534
97,0.027545,0.298031
