epoch,train_loss,val_loss
1,0.256461,0.218881
2,0.068635,0.233997
3,0.046405,0.272282
4,0.047208,0.486574
5,0.046199,0.492083
6,0.040108,0.540704
7,0.034824,0.468561
8,0.035826,0.503190
9,0.040012,0.474393
10,0.031592,0.513931
11,0.035400,0.488472
12,0.030741,0.422070
13,0.031890,0.362531
14,0.035683,0.357672
15,0.034167,0.356512
16,0.027093,0.400182
17,0.026823,0.425002
18,0.027539,0.425959
19,0.026579,0.421027
20,0.024909,0.400752
21,0.026229,0.383016
22,0.030665,0.332048
23,0.032616,0.438376
24,0.025951,0.364520
25,0.022520,0.427005
26,0.023725,0.443355
27,0.025631,0.488033
28,0.024630,0.330922
29,0.029063,0.316178
30,0.027731,0.447005
31,0.023715,0.383670
32,0.025122,0.351724
33,0.023202,0.415127
34,0.021425,0.418123
35,0.022900,0.436535
36,0.023493,0.439106
37,0.022892,0.430155
38,0.022332,0.438776
39,0.022256,0.385208
40,0.021382,0.450095
41,0.022524,0.426079
42,0.023575,0.349498
43,0.022993,0.426678
44,0.021649,0.436039
45,0.022209,0.477788
46,0.021883,0.446817
47,0.022495,0.408543
48,0.021391,0.433828
49,0.020923,0.431046
50,0.022006,0.414013
51,0.025574,0.434208
52,0.027321,0.362231
53,0.022690,0.345378
54,0.021293,0.353215
55,0.020786,0.376540
56,0.021082,0.354107
57,0.020276,0.377445
58,0.021423,0.382924
59,0.021778,0.371046
60,0.024262,0.424522
61,0.023008,0.367036
62,0.021468,0.333335
63,0.020968,0.382293
64,0.024060,0.353403
65,0.020629,0.346875
66,0.020237,0.377596
67,0.020832,0.366318
68,0.021088,0.387638
69,0.021629,0.380585
70,0.021642,0.372811
71,0.020270,0.375190
72,0.020410,0.344021
73,0.020031,0.401958
74,0.020524,0.361539
75,0.020204,0.397670
76,0.021586,0.369072
77,0.021912,0.367775
78,0.020086,0.362559
79,0.019697,0.382530
80,0.020041,0.370123
