epoch,train_loss,val_loss
1,0.333167,0.522385
2,0.084455,0.293654
3,0.053342,0.268434
4,0.041501,0.319179
5,0.042072,1.189081
6,0.039065,0.329544
7,0.032006,0.331025
8,0.030124,0.330106
9,0.036437,0.335757
10,0.031008,0.343779
11,0.027700,0.337475
12,0.026393,0.401772
13,0.032243,0.392076
14,0.025230,0.367340
15,0.024613,0.406978
16,0.029202,0.392478
17,0.037837,0.336995
18,0.024750,0.407389
19,0.027149,0.384637
20,0.037503,0.384154
21,0.026918,0.409886
22,0.025834,0.432827
23,0.024554,0.465064
24,0.024999,0.479015
25,0.023958,0.444493
26,0.025199,0.337431
27,0.040223,0.285746
28,0.029775,0.319964
29,0.029131,0.284801
30,0.026870,0.323859
31,0.026418,0.308170
32,0.023047,0.304707
33,0.022776,0.296889
34,0.021887,0.310994
35,0.023551,0.344223
36,0.024249,0.384536
37,0.023738,0.305943
38,0.021833,0.304812
39,0.020970,0.285580
40,0.020845,0.299985
41,0.020609,0.318341
42,0.023146,0.301208
43,0.020776,0.398624
44,0.021985,0.327314
45,0.030091,0.335195
46,0.036237,0.316044
47,0.024978,0.380109
48,0.023371,0.324958
49,0.028734,0.342147
50,0.020973,0.366743
51,0.021022,0.325522
52,0.021365,0.338078
53,0.020968,0.338084
54,0.020551,0.388175
55,0.020267,0.356169
56,0.019906,0.347962
57,0.019970,0.347488
58,0.021957,0.386581
59,0.020408,0.365361
60,0.019786,0.377323
61,0.023446,0.324759
62,0.019390,0.359679
63,0.020032,0.365012
64,0.021289,0.352321
65,0.019570,0.354460
66,0.019110,0.369339
67,0.020010,0.348070
68,0.019894,0.354081
69,0.019048,0.370373
70,0.019253,0.358894
71,0.018790,0.377541
72,0.020136,0.382977
73,0.020343,0.369584
74,0.018681,0.366090
75,0.021888,0.371462
76,0.019946,0.375417
77,0.019600,0.385671
78,0.020350,0.389593
79,0.018339,0.362993
80,0.018942,0.366190
