epoch,train_loss,val_loss
1,1.002261,0.376816
2,1.002412,0.357518
3,1.002557,0.358342
4,1.002634,0.352764
5,1.002160,0.347149
6,1.002346,0.353690
7,1.002195,0.348254
8,1.002166,0.348373
9,1.002258,0.349487
10,1.002134,0.349858
11,1.002381,0.352944
12,1.002169,0.350360
13,1.002118,0.350661
14,1.002044,0.347604
15,1.002248,0.347793
16,1.002071,0.348555
17,1.002099,0.346619
18,1.002257,0.348711
19,1.002049,0.346995
20,1.002176,0.347664
21,1.002095,0.347165
22,1.002041,0.347931
23,1.002064,0.347128
24,1.002051,0.349315
25,1.002048,0.348980
26,1.002017,0.349248
27,1.002124,0.349592
28,1.002020,0.347606
29,1.002030,0.348106
30,1.002054,0.348764
31,1.001994,0.348769
32,1.001998,0.347649
33,1.001998,0.349174
34,1.002007,0.348021
35,1.002195,0.345946
36,1.002046,0.349459
37,1.001998,0.347081
38,1.001992,0.347546
39,1.001992,0.348425
40,1.001968,0.347118
41,1.001971,0.347870
42,1.002026,0.348484
43,1.002009,0.347944
44,1.002056,0.347091
45,1.001978,0.349124
46,1.002017,0.347009
47,1.002002,0.347522
48,1.001973,0.348490
49,1.001997,0.348451
50,1.002005,0.347522
